000_number,001_rel_time,002_lidar_is_valid,003_lidar_frame,004_lidar_rel_time,005_lidar_time_stamp,006_lidar_ped_x,007_lidar_ped_y,008_lidar_curve_x1,009_lidar_curve_y1,010_lidar_curve_x2,011_lidar_curve_y2,012_lidar_pc_lat,013_lidar_vc_lat,014_lidar_pv_lon,015_can_is_valid,016_can_frame,017_can_rel_time,018_can_time_stamp,019_can_VehicleSpeed,020_can_SteeringAngle,021_can_SteeringVelocity,022_can_TargetSteeringAngle,023_can_TargetSteeringVelocity,024_can_TargetTorque,025_can_TargetBrakePressure,026_can_BrakePressure,027_can_SteeringTorqueVoltage,028_can_SteeringDAC_A,029_can_SteeringDAC_B,030_can_AcceleratorPedal,031_imu_is_valid,032_imu_frame,033_imu_rel_time,034_imu_time_stamp,035_imu_orientation.y,036_imu_orientation.z,037_imu_orientation.w,038_imu_orientation_covariance0,039_imu_orientation_covariance1,040_imu_orientation_covariance2,041_imu_orientation_covariance3,042_imu_orientation_covariance4,043_imu_orientation_covariance5,044_imu_orientation_covariance6,045_imu_orientation_covariance7,046_imu_orientation_covariance8,047_imu_angular_velocity.x,048_imu_angular_velocity.y,049_imu_angular_velocity.z,050_imu_angular_velocity_covariance0,051_imu_angular_velocity_covariance1,052_imu_angular_velocity_covariance2,053_imu_angular_velocity_covariance3,054_imu_angular_velocity_covariance4,055_imu_angular_velocity_covariance5,056_imu_angular_velocity_covariance6,057_imu_angular_velocity_covariance7,058_imu_angular_velocity_covariance8,059_imu_linear_acceleration.x,060_imu_linear_acceleration.y,061_imu_linear_acceleration.z,062_imu_linear_acceleration_covariance0,063_imu_linear_acceleration_covariance1,064_imu_linear_acceleration_covariance2,065_imu_linear_acceleration_covariance3,066_imu_linear_acceleration_covariance4,067_imu_linear_acceleration_covariance5,068_imu_linear_acceleration_covariance6,069_imu_linear_acceleration_covariance7,070_imu_linear_acceleration_covariance8,071_image_is_valid,072_image_frame,073_image_rel_time,074_image_time_stamp,075_img_01-mouth_x,076_img_01-mouth_y,077_img_02-neck_x,078_img_02-neck_y,079_img_03-l_shoulder_x,080_img_03-l_shoulder_y,081_img_04-l_elbow_x,082_img_04-l_elbow_y,083_img_05-l_wrist_x,084_img_05-l_wrist_y,085_img_06-r_shoulder_x,086_img_06-r_shoulder_y,087_img_07-r_elbow_x,088_img_07-r_elbow_y,089_img_08-r_wrist_x,090_img_08-r_wrist_y,091_img_09-l_hip_x,092_img_09-l_hip_y,093_img_10-l_knee_x,094_img_10-l_knee_y,095_img_11-l_ankle_x,096_img_11-l_ankle_y,097_img_12-r_hip_x,098_img_12-r_hip_y,099_img_13-r_knee_x,100_img_13-r_knee_y,101_img_14-r_ankle_x,102_img_14-r_ankle_y,103_img_15-l_eye_x,104_img_15-l_eye_y,105_img_16-r_eye_x,106_img_16-r_eye_y,107_img_17-l_ear_x,108_img_17-l_ear_y,109_img_18-r_ear_x,110_img_18-r_ear_y,111_img_orientation,112_img_valid,113_img_label
0,0,1,0,-0.005000114,1.52E+18,30,-3.725,2.865310632,-1.942380458,35.31645522,-2.486688794,-1.327298278,1.894053719,30.05825205,1,0,-0.027525663,1.52E+18,20.12,9.8,0,0,0,0,0,0,0,2.496416016,2.496416016,19.5,1,4,-0.001665592,1.52E+18,0.009170342,0.706753726,0.707379434,1.21E-06,0,0,0,7.57E-07,0,0,0,0.000112997,-0.00115,0.00094,0.01236,0.000436332,0,0,0,0.000436332,0,0,0,0.000436332,1.0899,-0.2706,10.0118,0.0004,0,0,0,0.0004,0,0,0,0.0004,0,0,0.058571577,1.52E+18,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0
1,0.01,0,0,-0.005000114,1.52E+18,30,-3.725,2.865310632,-1.942380458,35.31645522,-2.486688794,-1.327298278,1.894053719,30.05825205,0,0,-0.027525663,1.52E+18,20.12,9.8,0,0,0,0,0,0,0,2.496416016,2.496416016,19.5,1,5,0.008315563,1.52E+18,0.00914078,0.706828726,0.70730489,1.21E-06,0,0,0,7.57E-07,0,0,0,0.000112997,-0.00319,-0.00458,0.02112,0.000436332,0,0,0,0.000436332,0,0,0,0.000436332,1.1571,-0.071,10.0661,0.0004,0,0,0,0.0004,0,0,0,0.0004,0,0,0.058571577,1.52E+18,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0
2,0.02,0,0,-0.005000114,1.52E+18,30,-3.725,2.865310632,-1.942380458,35.31645522,-2.486688794,-1.327298278,1.894053719,30.05825205,0,0,-0.027525663,1.52E+18,20.12,9.8,0,0,0,0,0,0,0,2.496416016,2.496416016,19.5,1,6,0.01840663,1.52E+18,0.009107224,0.706871239,0.707262881,1.21E-06,0,0,0,7.57E-07,0,0,0,0.000112997,-0.00361,-0.00557,0.01189,0.000436332,0,0,0,0.000436332,0,0,0,0.000436332,1.1756,-0.0379,9.9475,0.0004,0,0,0,0.0004,0,0,0,0.0004,0,0,0.058571577,1.52E+18,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0
3,0.03,0,0,-0.005000114,1.52E+18,30,-3.725,2.865310632,-1.942380458,35.31645522,-2.486688794,-1.327298278,1.894053719,30.05825205,0,0,-0.027525663,1.52E+18,20.12,9.8,0,0,0,0,0,0,0,2.496416016,2.496416016,19.5,1,7,0.028342962,1.52E+18,0.009064147,0.70695665,0.707178332,1.21E-06,0,0,0,7.57E-07,0,0,0,0.000112997,-5.00E-05,-0.0113,0.01992,0.000436332,0,0,0,0.000436332,0,0,0,0.000436332,1.1028,-0.0732,9.7563,0.0004,0,0,0,0.0004,0,0,0,0.0004,0,0,0.058571577,1.52E+18,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0
4,0.04,0,0,-0.005000114,1.52E+18,30,-3.725,2.865310632,-1.942380458,35.31645522,-2.486688794,-1.327298278,1.894053719,30.05825205,0,0,-0.027525663,1.52E+18,20.12,9.8,0,0,0,0,0,0,0,2.496416016,2.496416016,19.5,1,8,0.038333178,1.52E+18,0.009014479,0.707026578,0.707109259,1.21E-06,0,0,0,7.57E-07,0,0,0,0.000112997,-0.00261,-0.01086,0.01957,0.000436332,0,0,0,0.000436332,0,0,0,0.000436332,1.0983,-0.0845,10.12,0.0004,0,0,0,0.0004,0,0,0,0.0004,0,0,0.058571577,1.52E+18,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0
5,0.05,0,0,-0.005000114,1.52E+18,30,-3.725,2.865310632,-1.942380458,35.31645522,-2.486688794,-1.327298278,1.894053719,30.05825205,0,0,-0.027525663,1.52E+18,20.12,9.8,0,0,0,0,0,0,0,2.496416016,2.496416016,19.5,1,9,0.04839468,1.52E+18,0.008987297,0.707115653,0.707020876,1.21E-06,0,0,0,7.57E-07,0,0,0,0.000112997,0.0034,-0.01052,0.02501,0.000436332,0,0,0,0.000436332,0,0,0,0.000436332,1.1958,-0.0696,10.0383,0.0004,0,0,0,0.0004,0,0,0,0.0004,0,0,0.058571577,1.52E+18,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0
6,0.06,0,0,-0.005000114,1.52E+18,30,-3.725,2.865310632,-1.942380458,35.31645522,-2.486688794,-1.327298278,1.894053719,30.05825205,0,0,-0.027525663,1.52E+18,20.12,9.8,0,0,0,0,0,0,0,2.496416016,2.496416016,19.5,1,10,0.058347464,1.52E+18,0.008973078,0.707174155,0.706962825,1.21E-06,0,0,0,7.57E-07,0,0,0,0.000112997,0.0041,-0.00738,0.01261,0.000436332,0,0,0,0.000436332,0,0,0,0.000436332,1.1794,-0.2579,9.474,0.0004,0,0,0,0.0004,0,0,0,0.0004,1,0,0.058571577,1.52E+18,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0
7,0.07,0,0,-0.005000114,1.52E+18,30,-3.725,2.865310632,-1.942380458,35.31645522,-2.486688794,-1.327298278,1.894053719,30.05825205,1,1,0.068436861,1.52E+18,20.44,9.8,0,0,0,0,0,0,0,2.496416016,2.496416016,19.5,1,11,0.06842947,1.52E+18,0.008918445,0.707249066,0.706888811,1.21E-06,0,0,0,7.57E-07,0,0,0,0.000112997,-0.0025,-0.01239,0.02096,0.000436332,0,0,0,0.000436332,0,0,0,0.000436332,1.0337,-0.0883,9.6115,0.0004,0,0,0,0.0004,0,0,0,0.0004,0,0,0.058571577,1.52E+18,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0
8,0.08,0,0,-0.005000114,1.52E+18,30,-3.725,2.865310632,-1.942380458,35.31645522,-2.486688794,-1.327298278,1.894053719,30.05825205,0,1,0.068436861,1.52E+18,20.44,9.8,0,0,0,0,0,0,0,2.496416016,2.496416016,19.5,1,12,0.078304291,1.52E+18,0.008911608,0.707315591,0.706822686,1.21E-06,0,0,0,7.57E-07,0,0,0,0.000112997,0.00633,-0.00783,0.01882,0.000436332,0,0,0,0.000436332,0,0,0,0.000436332,1.1225,-0.0409,9.7991,0.0004,0,0,0,0.0004,0,0,0,0.0004,0,0,0.058571577,1.52E+18,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0
9,0.09,0,0,-0.005000114,1.52E+18,30,-3.725,2.865310632,-1.942380458,35.31645522,-2.486688794,-1.327298278,1.894053719,30.05825205,0,1,0.068436861,1.52E+18,20.44,9.8,0,0,0,0,0,0,0,2.496416016,2.496416016,19.5,1,13,0.088418961,1.52E+18,0.008935478,0.707390203,0.706748117,1.21E-06,0,0,0,7.57E-07,0,0,0,0.000112997,0.01206,-0.00462,0.01752,0.000436332,0,0,0,0.000436332,0,0,0,0.000436332,1.1587,0.0438,9.6022,0.0004,0,0,0,0.0004,0,0,0,0.0004,0,0,0.058571577,1.52E+18,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0
