000_number,001_rel_time,002_lidar_is_valid,003_lidar_frame,004_lidar_rel_time,005_lidar_time_stamp,006_lidar_ped_x,007_lidar_ped_y,008_lidar_curve_x1,009_lidar_curve_y1,010_lidar_curve_x2,011_lidar_curve_y2,012_lidar_pc_lat,013_lidar_vc_lat,014_lidar_pv_lon,015_can_is_valid,016_can_frame,017_can_rel_time,018_can_time_stamp,019_can_VehicleSpeed,020_can_SteeringAngle,021_can_SteeringVelocity,022_can_TargetSteeringAngle,023_can_TargetSteeringVelocity,024_can_TargetTorque,025_can_TargetBrakePressure,026_can_BrakePressure,027_can_SteeringTorqueVoltage,028_can_SteeringDAC_A,029_can_SteeringDAC_B,030_can_AcceleratorPedal,031_imu_is_valid,032_imu_frame,033_imu_rel_time,034_imu_time_stamp,035_imu_orientation.y,036_imu_orientation.z,037_imu_orientation.w,038_imu_orientation_covariance0,039_imu_orientation_covariance1,040_imu_orientation_covariance2,041_imu_orientation_covariance3,042_imu_orientation_covariance4,043_imu_orientation_covariance5,044_imu_orientation_covariance6,045_imu_orientation_covariance7,046_imu_orientation_covariance8,047_imu_angular_velocity.x,048_imu_angular_velocity.y,049_imu_angular_velocity.z,050_imu_angular_velocity_covariance0,051_imu_angular_velocity_covariance1,052_imu_angular_velocity_covariance2,053_imu_angular_velocity_covariance3,054_imu_angular_velocity_covariance4,055_imu_angular_velocity_covariance5,056_imu_angular_velocity_covariance6,057_imu_angular_velocity_covariance7,058_imu_angular_velocity_covariance8,059_imu_linear_acceleration.x,060_imu_linear_acceleration.y,061_imu_linear_acceleration.z,062_imu_linear_acceleration_covariance0,063_imu_linear_acceleration_covariance1,064_imu_linear_acceleration_covariance2,065_imu_linear_acceleration_covariance3,066_imu_linear_acceleration_covariance4,067_imu_linear_acceleration_covariance5,068_imu_linear_acceleration_covariance6,069_imu_linear_acceleration_covariance7,070_imu_linear_acceleration_covariance8,071_image_is_valid,072_image_frame,073_image_rel_time,074_image_time_stamp,075_img_01-mouth_x,076_img_01-mouth_y,077_img_02-neck_x,078_img_02-neck_y,079_img_03-l_shoulder_x,080_img_03-l_shoulder_y,081_img_04-l_elbow_x,082_img_04-l_elbow_y,083_img_05-l_wrist_x,084_img_05-l_wrist_y,085_img_06-r_shoulder_x,086_img_06-r_shoulder_y,087_img_07-r_elbow_x,088_img_07-r_elbow_y,089_img_08-r_wrist_x,090_img_08-r_wrist_y,091_img_09-l_hip_x,092_img_09-l_hip_y,093_img_10-l_knee_x,094_img_10-l_knee_y,095_img_11-l_ankle_x,096_img_11-l_ankle_y,097_img_12-r_hip_x,098_img_12-r_hip_y,099_img_13-r_knee_x,100_img_13-r_knee_y,101_img_14-r_ankle_x,102_img_14-r_ankle_y,103_img_15-l_eye_x,104_img_15-l_eye_y,105_img_16-r_eye_x,106_img_16-r_eye_y,107_img_17-l_ear_x,108_img_17-l_ear_y,109_img_18-r_ear_x,110_img_18-r_ear_y,111_img_orientation,112_img_valid,113_img_label
0,0,1,0,-0.005000114,1.51713E+18,33.85,-8.225,-0.111952026,-2.111937964,35.43282003,-4.978451839,-3.363275891,2.11410281,34.40161984,0,0,0.044525146,1.51713E+18,11,-2.7,0,0,0,0,0,0,0,2.496416016,2.496416016,8.25,1,0,-0.007933617,1.51713E+18,0.007965059,0.729961791,0.683427905,1.56E-06,0,0,0,7.40E-07,0,0,0,0.000746382,0.00611,0.00286,-0.00337,0.000436332,0,0,0,0.000436332,0,0,0,0.000436332,0.4486,-0.0009,9.7624,0.0004,0,0,0,0.0004,0,0,0,0.0004,0,0,0.031417847,1.51713E+18,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1
1,0.01,0,0,-0.005000114,1.51713E+18,33.85,-8.225,-0.111952026,-2.111937964,35.43282003,-4.978451839,-3.363275891,2.11410281,34.40161984,0,0,0.044525146,1.51713E+18,11,-2.7,0,0,0,0,0,0,0,2.496416016,2.496416016,8.25,1,1,0.00201416,1.51713E+18,0.008015789,0.729919538,0.683472623,1.56E-06,0,0,0,7.40E-07,0,0,0,0.000746382,0.01081,0.00291,-0.00575,0.000436332,0,0,0,0.000436332,0,0,0,0.000436332,0.4841,0.0126,9.7722,0.0004,0,0,0,0.0004,0,0,0,0.0004,0,0,0.031417847,1.51713E+18,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1
2,0.02,0,0,-0.005000114,1.51713E+18,33.85,-8.225,-0.111952026,-2.111937964,35.43282003,-4.978451839,-3.363275891,2.11410281,34.40161984,0,0,0.044525146,1.51713E+18,11,-2.7,0,0,0,0,0,0,0,2.496416016,2.496416016,8.25,1,2,0.012006044,1.51713E+18,0.008026483,0.729903024,0.683490265,1.56E-06,0,0,0,7.40E-07,0,0,0,0.000746382,0.00431,-0.00159,-0.0047,0.000436332,0,0,0,0.000436332,0,0,0,0.000436332,0.4166,0.0129,9.669,0.0004,0,0,0,0.0004,0,0,0,0.0004,0,0,0.031417847,1.51713E+18,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1
3,0.03,0,0,-0.005000114,1.51713E+18,33.85,-8.225,-0.111952026,-2.111937964,35.43282003,-4.978451839,-3.363275891,2.11410281,34.40161984,0,0,0.044525146,1.51713E+18,11,-2.7,0,0,0,0,0,0,0,2.496416016,2.496416016,8.25,1,3,0.022115707,1.51713E+18,0.008068976,0.729906293,0.683486287,1.56E-06,0,0,0,7.40E-07,0,0,0,0.000746382,0.00649,0.00556,0.00111,0.000436332,0,0,0,0.000436332,0,0,0,0.000436332,0.4423,0.0297,9.7171,0.0004,0,0,0,0.0004,0,0,0,0.0004,0,0,0.031417847,1.51713E+18,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1
4,0.04,0,0,-0.005000114,1.51713E+18,33.85,-8.225,-0.111952026,-2.111937964,35.43282003,-4.978451839,-3.363275891,2.11410281,34.40161984,0,0,0.044525146,1.51713E+18,11,-2.7,0,0,0,0,0,0,0,2.496416016,2.496416016,8.25,1,4,0.032132387,1.51713E+18,0.008074533,0.729856683,0.683539257,1.56E-06,0,0,0,7.40E-07,0,0,0,0.000746382,0.00161,-0.0004,-0.00826,0.000436332,0,0,0,0.000436332,0,0,0,0.000436332,0.5208,0.0649,9.8862,0.0004,0,0,0,0.0004,0,0,0,0.0004,1,0,0.031417847,1.51713E+18,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1
5,0.05,0,0,-0.005000114,1.51713E+18,33.85,-8.225,-0.111952026,-2.111937964,35.43282003,-4.978451839,-3.363275891,2.11410281,34.40161984,1,0,0.044525146,1.51713E+18,11,-2.7,0,0,0,0,0,0,0,2.496416016,2.496416016,8.25,1,5,0.042025805,1.51713E+18,0.00812318,0.72984555,0.683550859,1.56E-06,0,0,0,7.40E-07,0,0,0,0.000746382,0.01336,-3.00E-05,-0.00306,0.000436332,0,0,0,0.000436332,0,0,0,0.000436332,0.5318,0.1604,9.8523,0.0004,0,0,0,0.0004,0,0,0,0.0004,0,0,0.031417847,1.51713E+18,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1
6,0.06,0,0,-0.005000114,1.51713E+18,33.85,-8.225,-0.111952026,-2.111937964,35.43282003,-4.978451839,-3.363275891,2.11410281,34.40161984,0,0,0.044525146,1.51713E+18,11,-2.7,0,0,0,0,0,0,0,2.496416016,2.496416016,8.25,1,6,0.051995993,1.51713E+18,0.008198106,0.729823828,0.683573189,1.56E-06,0,0,0,7.40E-07,0,0,0,0.000746382,0.01157,0.00954,-0.00603,0.000436332,0,0,0,0.000436332,0,0,0,0.000436332,0.4741,-0.0465,9.5859,0.0004,0,0,0,0.0004,0,0,0,0.0004,0,0,0.031417847,1.51713E+18,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1
7,0.07,0,0,-0.005000114,1.51713E+18,33.85,-8.225,-0.111952026,-2.111937964,35.43282003,-4.978451839,-3.363275891,2.11410281,34.40161984,0,0,0.044525146,1.51713E+18,11,-2.7,0,0,0,0,0,0,0,2.496416016,2.496416016,8.25,1,7,0.061937332,1.51713E+18,0.008237032,0.729787852,0.683611425,1.56E-06,0,0,0,7.40E-07,0,0,0,0.000746382,0.01177,-0.00145,-0.00452,0.000436332,0,0,0,0.000436332,0,0,0,0.000436332,0.4722,-0.0153,9.7085,0.0004,0,0,0,0.0004,0,0,0,0.0004,0,0,0.031417847,1.51713E+18,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1
8,0.08,0,0,-0.005000114,1.51713E+18,33.85,-8.225,-0.111952026,-2.111937964,35.43282003,-4.978451839,-3.363275891,2.11410281,34.40161984,0,0,0.044525146,1.51713E+18,11,-2.7,0,0,0,0,0,0,0,2.496416016,2.496416016,8.25,1,8,0.071994305,1.51713E+18,0.0082859,0.729785571,0.683613344,1.56E-06,0,0,0,7.40E-07,0,0,0,0.000746382,0.00875,0.00487,-0.00042,0.000436332,0,0,0,0.000436332,0,0,0,0.000436332,0.4102,0.0771,10.1245,0.0004,0,0,0,0.0004,0,0,0,0.0004,0,0,0.031417847,1.51713E+18,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1
9,0.09,0,0,-0.005000114,1.51713E+18,33.85,-8.225,-0.111952026,-2.111937964,35.43282003,-4.978451839,-3.363275891,2.11410281,34.40161984,0,0,0.044525146,1.51713E+18,11,-2.7,0,0,0,0,0,0,0,2.496416016,2.496416016,8.25,1,9,0.082023382,1.51713E+18,0.008371958,0.729762332,0.683637164,1.56E-06,0,0,0,7.40E-07,0,0,0,0.000746382,0.01383,0.01048,-0.00637,0.000436332,0,0,0,0.000436332,0,0,0,0.000436332,0.5107,-0.0029,9.9527,0.0004,0,0,0,0.0004,0,0,0,0.0004,0,0,0.031417847,1.51713E+18,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1
