000_number,001_rel_time,002_lidar_is_valid,003_lidar_frame,004_lidar_rel_time,005_lidar_time_stamp,006_lidar_ped_x,007_lidar_ped_y,008_lidar_curve_x1,009_lidar_curve_y1,010_lidar_curve_x2,011_lidar_curve_y2,012_lidar_pc_lat,013_lidar_vc_lat,014_lidar_pv_lon,015_can_is_valid,016_can_frame,017_can_rel_time,018_can_time_stamp,019_can_VehicleSpeed,020_can_SteeringAngle,021_can_SteeringVelocity,022_can_TargetSteeringAngle,023_can_TargetSteeringVelocity,024_can_TargetTorque,025_can_TargetBrakePressure,026_can_BrakePressure,027_can_SteeringTorqueVoltage,028_can_SteeringDAC_A,029_can_SteeringDAC_B,030_can_AcceleratorPedal,031_imu_is_valid,032_imu_frame,033_imu_rel_time,034_imu_time_stamp,035_imu_orientation.y,036_imu_orientation.z,037_imu_orientation.w,038_imu_orientation_covariance0,039_imu_orientation_covariance1,040_imu_orientation_covariance2,041_imu_orientation_covariance3,042_imu_orientation_covariance4,043_imu_orientation_covariance5,044_imu_orientation_covariance6,045_imu_orientation_covariance7,046_imu_orientation_covariance8,047_imu_angular_velocity.x,048_imu_angular_velocity.y,049_imu_angular_velocity.z,050_imu_angular_velocity_covariance0,051_imu_angular_velocity_covariance1,052_imu_angular_velocity_covariance2,053_imu_angular_velocity_covariance3,054_imu_angular_velocity_covariance4,055_imu_angular_velocity_covariance5,056_imu_angular_velocity_covariance6,057_imu_angular_velocity_covariance7,058_imu_angular_velocity_covariance8,059_imu_linear_acceleration.x,060_imu_linear_acceleration.y,061_imu_linear_acceleration.z,062_imu_linear_acceleration_covariance0,063_imu_linear_acceleration_covariance1,064_imu_linear_acceleration_covariance2,065_imu_linear_acceleration_covariance3,066_imu_linear_acceleration_covariance4,067_imu_linear_acceleration_covariance5,068_imu_linear_acceleration_covariance6,069_imu_linear_acceleration_covariance7,070_imu_linear_acceleration_covariance8,071_image_is_valid,072_image_frame,073_image_rel_time,074_image_time_stamp,075_img_01-mouth_x,076_img_01-mouth_y,077_img_02-neck_x,078_img_02-neck_y,079_img_03-l_shoulder_x,080_img_03-l_shoulder_y,081_img_04-l_elbow_x,082_img_04-l_elbow_y,083_img_05-l_wrist_x,084_img_05-l_wrist_y,085_img_06-r_shoulder_x,086_img_06-r_shoulder_y,087_img_07-r_elbow_x,088_img_07-r_elbow_y,089_img_08-r_wrist_x,090_img_08-r_wrist_y,091_img_09-l_hip_x,092_img_09-l_hip_y,093_img_10-l_knee_x,094_img_10-l_knee_y,095_img_11-l_ankle_x,096_img_11-l_ankle_y,097_img_12-r_hip_x,098_img_12-r_hip_y,099_img_13-r_knee_x,100_img_13-r_knee_y,101_img_14-r_ankle_x,102_img_14-r_ankle_y,103_img_15-l_eye_x,104_img_15-l_eye_y,105_img_16-r_eye_x,106_img_16-r_eye_y,107_img_17-l_ear_x,108_img_17-l_ear_y,109_img_18-r_ear_x,110_img_18-r_ear_y,111_img_orientation,112_img_valid,113_img_label
0,0,1,0,-0.005000114,1.52E+18,31.4,-3.725,2.826141498,-2.295915577,38.80464328,-3.321361474,-0.614433404,2.214466671,31.49337945,0,0,0.089624405,1.52E+18,20.45,5.3,0,0,0,0,0,0,0,2.496416016,2.496416016,23,1,0,-0.003905773,1.52E+18,0.009097188,0.706776955,0.707353048,1.00E-06,0,0,0,7.57E-07,0,0,0,0.000270274,-0.01246,0.01016,0.0079,0.000436332,0,0,0,0.000436332,0,0,0,0.000436332,1.2656,-0.1589,9.6984,0.0004,0,0,0,0.0004,0,0,0,0.0004,0,0,0.061203718,1.52E+18,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,180,0,0
1,0.01,0,0,-0.005000114,1.52E+18,31.4,-3.725,2.826141498,-2.295915577,38.80464328,-3.321361474,-0.614433404,2.214466671,31.49337945,0,0,0.089624405,1.52E+18,20.45,5.3,0,0,0,0,0,0,0,2.496416016,2.496416016,23,1,1,0.006112337,1.52E+18,0.009135885,0.706803687,0.707324913,1.00E-06,0,0,0,7.57E-07,0,0,0,0.000270274,-0.00979,0.0206,0.00535,0.000436332,0,0,0,0.000436332,0,0,0,0.000436332,1.3222,-0.2131,9.9874,0.0004,0,0,0,0.0004,0,0,0,0.0004,0,0,0.061203718,1.52E+18,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,180,0,0
2,0.02,0,0,-0.005000114,1.52E+18,31.4,-3.725,2.826141498,-2.295915577,38.80464328,-3.321361474,-0.614433404,2.214466671,31.49337945,0,0,0.089624405,1.52E+18,20.45,5.3,0,0,0,0,0,0,0,2.496416016,2.496416016,23,1,2,0.016129732,1.52E+18,0.009142537,0.706813149,0.707314943,1.00E-06,0,0,0,7.57E-07,0,0,0,0.000270274,-0.0061,0.00804,0.00278,0.000436332,0,0,0,0.000436332,0,0,0,0.000436332,1.4111,-0.2315,10.1746,0.0004,0,0,0,0.0004,0,0,0,0.0004,0,0,0.061203718,1.52E+18,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,180,0,0
3,0.03,0,0,-0.005000114,1.52E+18,31.4,-3.725,2.826141498,-2.295915577,38.80464328,-3.321361474,-0.614433404,2.214466671,31.49337945,0,0,0.089624405,1.52E+18,20.45,5.3,0,0,0,0,0,0,0,2.496416016,2.496416016,23,1,3,0.026111126,1.52E+18,0.009117929,0.706841756,0.707285794,1.00E-06,0,0,0,7.57E-07,0,0,0,0.000270274,-0.01752,0.01082,0.00805,0.000436332,0,0,0,0.000436332,0,0,0,0.000436332,1.4277,-0.3266,9.6482,0.0004,0,0,0,0.0004,0,0,0,0.0004,0,0,0.061203718,1.52E+18,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,180,0,0
4,0.04,0,0,-0.005000114,1.52E+18,31.4,-3.725,2.826141498,-2.295915577,38.80464328,-3.321361474,-0.614433404,2.214466671,31.49337945,0,0,0.089624405,1.52E+18,20.45,5.3,0,0,0,0,0,0,0,2.496416016,2.496416016,23,1,4,0.036072016,1.52E+18,0.009106695,0.706875493,0.70725151,1.00E-06,0,0,0,7.57E-07,0,0,0,0.000270274,-0.01276,0.00947,0.00721,0.000436332,0,0,0,0.000436332,0,0,0,0.000436332,1.2191,-0.1802,9.6311,0.0004,0,0,0,0.0004,0,0,0,0.0004,0,0,0.061203718,1.52E+18,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,180,0,0
5,0.05,0,0,-0.005000114,1.52E+18,31.4,-3.725,2.826141498,-2.295915577,38.80464328,-3.321361474,-0.614433404,2.214466671,31.49337945,0,0,0.089624405,1.52E+18,20.45,5.3,0,0,0,0,0,0,0,2.496416016,2.496416016,23,1,5,0.046006918,1.52E+18,0.009080373,0.706895632,0.707231137,1.00E-06,0,0,0,7.57E-07,0,0,0,0.000270274,-0.01272,0.00551,0.00572,0.000436332,0,0,0,0.000436332,0,0,0,0.000436332,1.3379,-0.2025,10.0527,0.0004,0,0,0,0.0004,0,0,0,0.0004,0,0,0.061203718,1.52E+18,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,180,0,0
6,0.06,0,0,-0.005000114,1.52E+18,31.4,-3.725,2.826141498,-2.295915577,38.80464328,-3.321361474,-0.614433404,2.214466671,31.49337945,0,0,0.089624405,1.52E+18,20.45,5.3,0,0,0,0,0,0,0,2.496416016,2.496416016,23,1,6,0.056061029,1.52E+18,0.009077294,0.706925018,0.707201162,1.00E-06,0,0,0,7.57E-07,0,0,0,0.000270274,-0.01027,0.00962,0.00832,0.000436332,0,0,0,0.000436332,0,0,0,0.000436332,1.4118,-0.1936,9.9986,0.0004,0,0,0,0.0004,0,0,0,0.0004,0,0,0.061203718,1.52E+18,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,180,0,0
7,0.07,0,0,-0.005000114,1.52E+18,31.4,-3.725,2.826141498,-2.295915577,38.80464328,-3.321361474,-0.614433404,2.214466671,31.49337945,0,0,0.089624405,1.52E+18,20.45,5.3,0,0,0,0,0,0,0,2.496416016,2.496416016,23,1,7,0.066704273,1.52E+18,0.009038493,0.706955567,0.707170734,1.00E-06,0,0,0,7.57E-07,0,0,0,0.000270274,-0.01125,0.00016,0.00635,0.000436332,0,0,0,0.000436332,0,0,0,0.000436332,1.4383,-0.3371,9.8023,0.0004,0,0,0,0.0004,0,0,0,0.0004,1,0,0.061203718,1.52E+18,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,180,0,0
8,0.08,0,0,-0.005000114,1.52E+18,31.4,-3.725,2.826141498,-2.295915577,38.80464328,-3.321361474,-0.614433404,2.214466671,31.49337945,0,0,0.089624405,1.52E+18,20.45,5.3,0,0,0,0,0,0,0,2.496416016,2.496416016,23,1,8,0.076057911,1.52E+18,0.009025797,0.706991436,0.70713464,1.00E-06,0,0,0,7.57E-07,0,0,0,0.000270274,-0.00755,0.0043,0.01012,0.000436332,0,0,0,0.000436332,0,0,0,0.000436332,1.2348,-0.0889,9.8642,0.0004,0,0,0,0.0004,0,0,0,0.0004,0,0,0.061203718,1.52E+18,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,180,0,0
9,0.09,0,0,-0.005000114,1.52E+18,31.4,-3.725,2.826141498,-2.295915577,38.80464328,-3.321361474,-0.614433404,2.214466671,31.49337945,1,0,0.089624405,1.52E+18,20.45,5.3,0,0,0,0,0,0,0,2.496416016,2.496416016,23,1,9,0.086252689,1.52E+18,0.009013485,0.70702341,0.707102655,1.00E-06,0,0,0,7.57E-07,0,0,0,0.000270274,-0.00412,0.00095,0.00905,0.000436332,0,0,0,0.000436332,0,0,0,0.000436332,1.3723,0.0111,9.9795,0.0004,0,0,0,0.0004,0,0,0,0.0004,0,0,0.061203718,1.52E+18,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,180,0,0
