000_number,001_rel_time,002_lidar_is_valid,003_lidar_frame,004_lidar_rel_time,005_lidar_time_stamp,006_lidar_ped_x,007_lidar_ped_y,008_lidar_curve_x1,009_lidar_curve_y1,010_lidar_curve_x2,011_lidar_curve_y2,012_lidar_pc_lat,013_lidar_vc_lat,014_lidar_pv_lon,015_can_is_valid,016_can_frame,017_can_rel_time,018_can_time_stamp,019_can_VehicleSpeed,020_can_SteeringAngle,021_can_SteeringVelocity,022_can_TargetSteeringAngle,023_can_TargetSteeringVelocity,024_can_TargetTorque,025_can_TargetBrakePressure,026_can_BrakePressure,027_can_SteeringTorqueVoltage,028_can_SteeringDAC_A,029_can_SteeringDAC_B,030_can_AcceleratorPedal,031_imu_is_valid,032_imu_frame,033_imu_rel_time,034_imu_time_stamp,035_imu_orientation.y,036_imu_orientation.z,037_imu_orientation.w,038_imu_orientation_covariance0,039_imu_orientation_covariance1,040_imu_orientation_covariance2,041_imu_orientation_covariance3,042_imu_orientation_covariance4,043_imu_orientation_covariance5,044_imu_orientation_covariance6,045_imu_orientation_covariance7,046_imu_orientation_covariance8,047_imu_angular_velocity.x,048_imu_angular_velocity.y,049_imu_angular_velocity.z,050_imu_angular_velocity_covariance0,051_imu_angular_velocity_covariance1,052_imu_angular_velocity_covariance2,053_imu_angular_velocity_covariance3,054_imu_angular_velocity_covariance4,055_imu_angular_velocity_covariance5,056_imu_angular_velocity_covariance6,057_imu_angular_velocity_covariance7,058_imu_angular_velocity_covariance8,059_imu_linear_acceleration.x,060_imu_linear_acceleration.y,061_imu_linear_acceleration.z,062_imu_linear_acceleration_covariance0,063_imu_linear_acceleration_covariance1,064_imu_linear_acceleration_covariance2,065_imu_linear_acceleration_covariance3,066_imu_linear_acceleration_covariance4,067_imu_linear_acceleration_covariance5,068_imu_linear_acceleration_covariance6,069_imu_linear_acceleration_covariance7,070_imu_linear_acceleration_covariance8,071_image_is_valid,072_image_frame,073_image_rel_time,074_image_time_stamp,075_img_01-mouth_x,076_img_01-mouth_y,077_img_02-neck_x,078_img_02-neck_y,079_img_03-l_shoulder_x,080_img_03-l_shoulder_y,081_img_04-l_elbow_x,082_img_04-l_elbow_y,083_img_05-l_wrist_x,084_img_05-l_wrist_y,085_img_06-r_shoulder_x,086_img_06-r_shoulder_y,087_img_07-r_elbow_x,088_img_07-r_elbow_y,089_img_08-r_wrist_x,090_img_08-r_wrist_y,091_img_09-l_hip_x,092_img_09-l_hip_y,093_img_10-l_knee_x,094_img_10-l_knee_y,095_img_11-l_ankle_x,096_img_11-l_ankle_y,097_img_12-r_hip_x,098_img_12-r_hip_y,099_img_13-r_knee_x,100_img_13-r_knee_y,101_img_14-r_ankle_x,102_img_14-r_ankle_y,103_img_15-l_eye_x,104_img_15-l_eye_y,105_img_16-r_eye_x,106_img_16-r_eye_y,107_img_17-l_ear_x,108_img_17-l_ear_y,109_img_18-r_ear_x,110_img_18-r_ear_y,111_img_orientation,112_img_valid,113_img_label
0,0,1,0,-0.005000114,1.52E+18,24.925,-3.25,0.191776706,-2.050262637,26.71234735,-2.433384846,-0.84234769,2.047278572,24.96934491,0,0,0.002569199,1.52E+18,19.75,10.2,4,0,0,0,0,0,0,2.496416016,2.496416016,16.75,1,2,-0.003947735,1.52E+18,0.007943131,0.711385967,0.702735602,1.12E-06,0,0,0,7.40E-07,0,0,0,0.00010733,0.0071,-0.00409,0.02556,0.000436332,0,0,0,0.000436332,0,0,0,0.000436332,1.0047,-0.061,10.2237,0.0004,0,0,0,0.0004,0,0,0,0.0004,0,0,0.056762457,1.52E+18,984,717,990,727,986,726,988,747,-1,-1,995,727,997,743,995,759,995,763,996,791,998,813,996,763,996,790,998,813,-1,-1,984,713,-1,-1,986,716,175.3960849,0,1
1,0.01,0,0,-0.005000114,1.52E+18,24.925,-3.25,0.191776706,-2.050262637,26.71234735,-2.433384846,-0.84234769,2.047278572,24.96934491,1,0,0.002569199,1.52E+18,19.75,10.2,4,0,0,0,0,0,0,2.496416016,2.496416016,16.75,1,3,0.005900383,1.52E+18,0.008021195,0.711418468,0.702702484,1.12E-06,0,0,0,7.40E-07,0,0,0,0.00010733,0.02365,-0.00144,0.00948,0.000436332,0,0,0,0.000436332,0,0,0,0.000436332,1.0392,-0.1299,9.7087,0.0004,0,0,0,0.0004,0,0,0,0.0004,0,0,0.056762457,1.52E+18,984,717,990,727,986,726,988,747,-1,-1,995,727,997,743,995,759,995,763,996,791,998,813,996,763,996,790,998,813,-1,-1,984,713,-1,-1,986,716,175.3960849,0,1
2,0.02,0,0,-0.005000114,1.52E+18,24.925,-3.25,0.191776706,-2.050262637,26.71234735,-2.433384846,-0.84234769,2.047278572,24.96934491,0,0,0.002569199,1.52E+18,19.75,10.2,4,0,0,0,0,0,0,2.496416016,2.496416016,16.75,1,4,0.016512394,1.52E+18,0.008089754,0.711469684,0.702650285,1.12E-06,0,0,0,7.40E-07,0,0,0,0.00010733,0.0181,0.00061,0.01768,0.000436332,0,0,0,0.000436332,0,0,0,0.000436332,0.9648,-0.1715,9.2461,0.0004,0,0,0,0.0004,0,0,0,0.0004,0,0,0.056762457,1.52E+18,984,717,990,727,986,726,988,747,-1,-1,995,727,997,743,995,759,995,763,996,791,998,813,996,763,996,790,998,813,-1,-1,984,713,-1,-1,986,716,175.3960849,0,1
3,0.03,0,0,-0.005000114,1.52E+18,24.925,-3.25,0.191776706,-2.050262637,26.71234735,-2.433384846,-0.84234769,2.047278572,24.96934491,0,0,0.002569199,1.52E+18,19.75,10.2,4,0,0,0,0,0,0,2.496416016,2.496416016,16.75,1,5,0.025949478,1.52E+18,0.008146192,0.711529109,0.702589837,1.12E-06,0,0,0,7.40E-07,0,0,0,0.00010733,0.01571,0.00069,0.01714,0.000436332,0,0,0,0.000436332,0,0,0,0.000436332,0.8481,-0.0829,9.6391,0.0004,0,0,0,0.0004,0,0,0,0.0004,0,0,0.056762457,1.52E+18,984,717,990,727,986,726,988,747,-1,-1,995,727,997,743,995,759,995,763,996,791,998,813,996,763,996,790,998,813,-1,-1,984,713,-1,-1,986,716,175.3960849,0,1
4,0.04,0,0,-0.005000114,1.52E+18,24.925,-3.25,0.191776706,-2.050262637,26.71234735,-2.433384846,-0.84234769,2.047278572,24.96934491,0,0,0.002569199,1.52E+18,19.75,10.2,4,0,0,0,0,0,0,2.496416016,2.496416016,16.75,1,6,0.036186218,1.52E+18,0.008218653,0.711589744,0.702528088,1.12E-06,0,0,0,7.40E-07,0,0,0,0.00010733,0.02038,0.00032,0.01757,0.000436332,0,0,0,0.000436332,0,0,0,0.000436332,1.0865,0.0289,10.1656,0.0004,0,0,0,0.0004,0,0,0,0.0004,0,0,0.056762457,1.52E+18,984,717,990,727,986,726,988,747,-1,-1,995,727,997,743,995,759,995,763,996,791,998,813,996,763,996,790,998,813,-1,-1,984,713,-1,-1,986,716,175.3960849,0,1
5,0.05,0,0,-0.005000114,1.52E+18,24.925,-3.25,0.191776706,-2.050262637,26.71234735,-2.433384846,-0.84234769,2.047278572,24.96934491,0,0,0.002569199,1.52E+18,19.75,10.2,4,0,0,0,0,0,0,2.496416016,2.496416016,16.75,1,7,0.045908451,1.52E+18,0.008291338,0.711648605,0.702467938,1.12E-06,0,0,0,7.40E-07,0,0,0,0.00010733,0.0169,0.00312,0.01965,0.000436332,0,0,0,0.000436332,0,0,0,0.000436332,1.0205,-0.1025,9.6481,0.0004,0,0,0,0.0004,0,0,0,0.0004,0,0,0.056762457,1.52E+18,984,717,990,727,986,726,988,747,-1,-1,995,727,997,743,995,759,995,763,996,791,998,813,996,763,996,790,998,813,-1,-1,984,713,-1,-1,986,716,175.3960849,0,1
6,0.06,0,0,-0.005000114,1.52E+18,24.925,-3.25,0.191776706,-2.050262637,26.71234735,-2.433384846,-0.84234769,2.047278572,24.96934491,0,0,0.002569199,1.52E+18,19.75,10.2,4,0,0,0,0,0,0,2.496416016,2.496416016,16.75,1,8,0.055899143,1.52E+18,0.008362581,0.711697993,0.702417655,1.12E-06,0,0,0,7.40E-07,0,0,0,0.00010733,0.02214,-0.00175,0.01442,0.000436332,0,0,0,0.000436332,0,0,0,0.000436332,0.8959,-0.1107,9.4221,0.0004,0,0,0,0.0004,0,0,0,0.0004,1,0,0.056762457,1.52E+18,984,717,990,727,986,726,988,747,-1,-1,995,727,997,743,995,759,995,763,996,791,998,813,996,763,996,790,998,813,-1,-1,984,713,-1,-1,986,716,175.3960849,0,1
7,0.07,0,0,-0.005000114,1.52E+18,24.925,-3.25,0.191776706,-2.050262637,26.71234735,-2.433384846,-0.84234769,2.047278572,24.96934491,0,0,0.002569199,1.52E+18,19.75,10.2,4,0,0,0,0,0,0,2.496416016,2.496416016,16.75,1,9,0.06610918,1.52E+18,0.008398308,0.711760779,0.702353732,1.12E-06,0,0,0,7.40E-07,0,0,0,0.00010733,0.00808,0.00241,0.01799,0.000436332,0,0,0,0.000436332,0,0,0,0.000436332,0.8408,-0.1159,9.9795,0.0004,0,0,0,0.0004,0,0,0,0.0004,0,0,0.056762457,1.52E+18,984,717,990,727,986,726,988,747,-1,-1,995,727,997,743,995,759,995,763,996,791,998,813,996,763,996,790,998,813,-1,-1,984,713,-1,-1,986,716,175.3960849,0,1
8,0.08,0,0,-0.005000114,1.52E+18,24.925,-3.25,0.191776706,-2.050262637,26.71234735,-2.433384846,-0.84234769,2.047278572,24.96934491,0,0,0.002569199,1.52E+18,19.75,10.2,4,0,0,0,0,0,0,2.496416016,2.496416016,16.75,1,10,0.075930595,1.52E+18,0.008425329,0.711811374,0.702302301,1.12E-06,0,0,0,7.40E-07,0,0,0,0.00010733,0.00739,-0.00022,0.01711,0.000436332,0,0,0,0.000436332,0,0,0,0.000436332,1.0363,-0.0486,10.1674,0.0004,0,0,0,0.0004,0,0,0,0.0004,0,0,0.056762457,1.52E+18,984,717,990,727,986,726,988,747,-1,-1,995,727,997,743,995,759,995,763,996,791,998,813,996,763,996,790,998,813,-1,-1,984,713,-1,-1,986,716,175.3960849,0,1
9,0.09,0,0,-0.005000114,1.52E+18,24.925,-3.25,0.191776706,-2.050262637,26.71234735,-2.433384846,-0.84234769,2.047278572,24.96934491,0,0,0.002569199,1.52E+18,19.75,10.2,4,0,0,0,0,0,0,2.496416016,2.496416016,16.75,1,11,0.086154461,1.52E+18,0.008458131,0.7118475,0.702265478,1.12E-06,0,0,0,7.40E-07,0,0,0,0.00010733,0.00868,0.00084,0.01044,0.000436332,0,0,0,0.000436332,0,0,0,0.000436332,1.1818,-0.2095,9.6099,0.0004,0,0,0,0.0004,0,0,0,0.0004,0,0,0.056762457,1.52E+18,984,717,990,727,986,726,988,747,-1,-1,995,727,997,743,995,759,995,763,996,791,998,813,996,763,996,790,998,813,-1,-1,984,713,-1,-1,986,716,175.3960849,0,1
