000_number,001_rel_time,002_lidar_is_valid,003_lidar_frame,004_lidar_rel_time,005_lidar_time_stamp,006_lidar_ped_x,007_lidar_ped_y,008_lidar_curve_x1,009_lidar_curve_y1,010_lidar_curve_x2,011_lidar_curve_y2,012_lidar_pc_lat,013_lidar_vc_lat,014_lidar_pv_lon,015_can_is_valid,016_can_frame,017_can_rel_time,018_can_time_stamp,019_can_VehicleSpeed,020_can_SteeringAngle,021_can_SteeringVelocity,022_can_TargetSteeringAngle,023_can_TargetSteeringVelocity,024_can_TargetTorque,025_can_TargetBrakePressure,026_can_BrakePressure,027_can_SteeringTorqueVoltage,028_can_SteeringDAC_A,029_can_SteeringDAC_B,030_can_AcceleratorPedal,031_imu_is_valid,032_imu_frame,033_imu_rel_time,034_imu_time_stamp,035_imu_orientation.y,036_imu_orientation.z,037_imu_orientation.w,038_imu_orientation_covariance0,039_imu_orientation_covariance1,040_imu_orientation_covariance2,041_imu_orientation_covariance3,042_imu_orientation_covariance4,043_imu_orientation_covariance5,044_imu_orientation_covariance6,045_imu_orientation_covariance7,046_imu_orientation_covariance8,047_imu_angular_velocity.x,048_imu_angular_velocity.y,049_imu_angular_velocity.z,050_imu_angular_velocity_covariance0,051_imu_angular_velocity_covariance1,052_imu_angular_velocity_covariance2,053_imu_angular_velocity_covariance3,054_imu_angular_velocity_covariance4,055_imu_angular_velocity_covariance5,056_imu_angular_velocity_covariance6,057_imu_angular_velocity_covariance7,058_imu_angular_velocity_covariance8,059_imu_linear_acceleration.x,060_imu_linear_acceleration.y,061_imu_linear_acceleration.z,062_imu_linear_acceleration_covariance0,063_imu_linear_acceleration_covariance1,064_imu_linear_acceleration_covariance2,065_imu_linear_acceleration_covariance3,066_imu_linear_acceleration_covariance4,067_imu_linear_acceleration_covariance5,068_imu_linear_acceleration_covariance6,069_imu_linear_acceleration_covariance7,070_imu_linear_acceleration_covariance8,071_image_is_valid,072_image_frame,073_image_rel_time,074_image_time_stamp,075_img_01-mouth_x,076_img_01-mouth_y,077_img_02-neck_x,078_img_02-neck_y,079_img_03-l_shoulder_x,080_img_03-l_shoulder_y,081_img_04-l_elbow_x,082_img_04-l_elbow_y,083_img_05-l_wrist_x,084_img_05-l_wrist_y,085_img_06-r_shoulder_x,086_img_06-r_shoulder_y,087_img_07-r_elbow_x,088_img_07-r_elbow_y,089_img_08-r_wrist_x,090_img_08-r_wrist_y,091_img_09-l_hip_x,092_img_09-l_hip_y,093_img_10-l_knee_x,094_img_10-l_knee_y,095_img_11-l_ankle_x,096_img_11-l_ankle_y,097_img_12-r_hip_x,098_img_12-r_hip_y,099_img_13-r_knee_x,100_img_13-r_knee_y,101_img_14-r_ankle_x,102_img_14-r_ankle_y,103_img_15-l_eye_x,104_img_15-l_eye_y,105_img_16-r_eye_x,106_img_16-r_eye_y,107_img_17-l_ear_x,108_img_17-l_ear_y,109_img_18-r_ear_x,110_img_18-r_ear_y,111_img_orientation,112_img_valid,113_img_label
0,0,1,0,-0.005000114,1.52E+18,26.6,-3.35,0.806471783,-2.147049312,29.01344378,-2.48209872,-0.896505521,2.137319065,26.63791299,0,0,0.022186279,1.52E+18,13.19,8.7,0,0,0,0,0,0,0,2.496416016,2.496416016,13.25,1,2,-0.004339933,1.52E+18,0.007437997,0.704965293,0.709177685,9.80E-07,0,0,0,7.23E-07,0,0,0,0.000165637,-0.00322,0.00134,0.01551,0.000436332,0,0,0,0.000436332,0,0,0,0.000436332,0.939,-0.1076,9.544,0.0004,0,0,0,0.0004,0,0,0,0.0004,0,0,0.052760839,1.52E+18,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,93.7433979,0,1
1,0.01,0,0,-0.005000114,1.52E+18,26.6,-3.35,0.806471783,-2.147049312,29.01344378,-2.48209872,-0.896505521,2.137319065,26.63791299,0,0,0.022186279,1.52E+18,13.19,8.7,0,0,0,0,0,0,0,2.496416016,2.496416016,13.25,1,3,0.005542278,1.52E+18,0.007504888,0.705004653,0.709137683,9.80E-07,0,0,0,7.23E-07,0,0,0,0.000165637,0.00697,0.01234,0.01139,0.000436332,0,0,0,0.000436332,0,0,0,0.000436332,0.8375,-0.1003,9.8422,0.0004,0,0,0,0.0004,0,0,0,0.0004,0,0,0.052760839,1.52E+18,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,93.7433979,0,1
2,0.02,0,0,-0.005000114,1.52E+18,26.6,-3.35,0.806471783,-2.147049312,29.01344378,-2.48209872,-0.896505521,2.137319065,26.63791299,0,0,0.022186279,1.52E+18,13.19,8.7,0,0,0,0,0,0,0,2.496416016,2.496416016,13.25,1,4,0.015729427,1.52E+18,0.007560961,0.705026393,0.709115326,9.80E-07,0,0,0,7.23E-07,0,0,0,0.000165637,0.00555,0.01045,0.0064,0.000436332,0,0,0,0.000436332,0,0,0,0.000436332,1.0778,-0.1065,10.1249,0.0004,0,0,0,0.0004,0,0,0,0.0004,0,0,0.052760839,1.52E+18,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,93.7433979,0,1
3,0.03,0,0,-0.005000114,1.52E+18,26.6,-3.35,0.806471783,-2.147049312,29.01344378,-2.48209872,-0.896505521,2.137319065,26.63791299,1,0,0.022186279,1.52E+18,13.19,8.7,0,0,0,0,0,0,0,2.496416016,2.496416016,13.25,1,5,0.025856018,1.52E+18,0.00756094,0.705071417,0.709070535,9.80E-07,0,0,0,7.23E-07,0,0,0,0.000165637,4.00E-05,0.00084,0.0102,0.000436332,0,0,0,0.000436332,0,0,0,0.000436332,0.8361,-0.0372,10.1619,0.0004,0,0,0,0.0004,0,0,0,0.0004,0,0,0.052760839,1.52E+18,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,93.7433979,0,1
4,0.04,0,0,-0.005000114,1.52E+18,26.6,-3.35,0.806471783,-2.147049312,29.01344378,-2.48209872,-0.896505521,2.137319065,26.63791299,0,0,0.022186279,1.52E+18,13.19,8.7,0,0,0,0,0,0,0,2.496416016,2.496416016,13.25,1,6,0.036039829,1.52E+18,0.00759018,0.705121087,0.709020927,9.80E-07,0,0,0,7.23E-07,0,0,0,0.000165637,0.00625,0.00252,0.01416,0.000436332,0,0,0,0.000436332,0,0,0,0.000436332,0.9546,-0.1097,9.5627,0.0004,0,0,0,0.0004,0,0,0,0.0004,0,0,0.052760839,1.52E+18,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,93.7433979,0,1
5,0.05,0,0,-0.005000114,1.52E+18,26.6,-3.35,0.806471783,-2.147049312,29.01344378,-2.48209872,-0.896505521,2.137319065,26.63791299,0,0,0.022186279,1.52E+18,13.19,8.7,0,0,0,0,0,0,0,2.496416016,2.496416016,13.25,1,7,0.045665741,1.52E+18,0.007608046,0.7051411,0.709000809,9.80E-07,0,0,0,7.23E-07,0,0,0,0.000165637,0.0023,0.00289,0.00573,0.000436332,0,0,0,0.000436332,0,0,0,0.000436332,0.8426,-0.0456,9.9451,0.0004,0,0,0,0.0004,0,0,0,0.0004,0,0,0.052760839,1.52E+18,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,93.7433979,0,1
6,0.06,0,0,-0.005000114,1.52E+18,26.6,-3.35,0.806471783,-2.147049312,29.01344378,-2.48209872,-0.896505521,2.137319065,26.63791299,0,0,0.022186279,1.52E+18,13.19,8.7,0,0,0,0,0,0,0,2.496416016,2.496416016,13.25,1,8,0.055626631,1.52E+18,0.007654134,0.70520405,0.708937827,9.80E-07,0,0,0,7.23E-07,0,0,0,0.000165637,0.00922,0.00485,0.01562,0.000436332,0,0,0,0.000436332,0,0,0,0.000436332,0.9147,0.0361,10.199,0.0004,0,0,0,0.0004,0,0,0,0.0004,1,0,0.052760839,1.52E+18,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,93.7433979,0,1
7,0.07,0,0,-0.005000114,1.52E+18,26.6,-3.35,0.806471783,-2.147049312,29.01344378,-2.48209872,-0.896505521,2.137319065,26.63791299,0,0,0.022186279,1.52E+18,13.19,8.7,0,0,0,0,0,0,0,2.496416016,2.496416016,13.25,1,9,0.065543413,1.52E+18,0.007672987,0.705221566,0.708920484,9.80E-07,0,0,0,7.23E-07,0,0,0,0.000165637,0.0076,-0.00211,0.00507,0.000436332,0,0,0,0.000436332,0,0,0,0.000436332,1.0366,-0.0255,9.8685,0.0004,0,0,0,0.0004,0,0,0,0.0004,0,0,0.052760839,1.52E+18,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,93.7433979,0,1
8,0.08,0,0,-0.005000114,1.52E+18,26.6,-3.35,0.806471783,-2.147049312,29.01344378,-2.48209872,-0.896505521,2.137319065,26.63791299,0,0,0.022186279,1.52E+18,13.19,8.7,0,0,0,0,0,0,0,2.496416016,2.496416016,13.25,1,10,0.075561047,1.52E+18,0.007671135,0.705263051,0.708879525,9.80E-07,0,0,0,7.23E-07,0,0,0,0.000165637,0.00497,-0.00516,0.01171,0.000436332,0,0,0,0.000436332,0,0,0,0.000436332,0.8529,-0.0722,10.0021,0.0004,0,0,0,0.0004,0,0,0,0.0004,0,0,0.052760839,1.52E+18,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,93.7433979,0,1
9,0.09,0,0,-0.005000114,1.52E+18,26.6,-3.35,0.806471783,-2.147049312,29.01344378,-2.48209872,-0.896505521,2.137319065,26.63791299,0,0,0.022186279,1.52E+18,13.19,8.7,0,0,0,0,0,0,0,2.496416016,2.496416016,13.25,1,11,0.085688591,1.52E+18,0.007660611,0.705298251,0.708844539,9.80E-07,0,0,0,7.23E-07,0,0,0,0.000165637,-0.00236,0.00023,0.00768,0.000436332,0,0,0,0.000436332,0,0,0,0.000436332,0.9274,0.1245,9.6762,0.0004,0,0,0,0.0004,0,0,0,0.0004,0,0,0.052760839,1.52E+18,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,93.7433979,0,1
