000_number,001_rel_time,002_lidar_is_valid,003_lidar_frame,004_lidar_rel_time,005_lidar_time_stamp,006_lidar_ped_x,007_lidar_ped_y,008_lidar_curve_x1,009_lidar_curve_y1,010_lidar_curve_x2,011_lidar_curve_y2,012_lidar_pc_lat,013_lidar_vc_lat,014_lidar_pv_lon,015_can_is_valid,016_can_frame,017_can_rel_time,018_can_time_stamp,019_can_VehicleSpeed,020_can_SteeringAngle,021_can_SteeringVelocity,022_can_TargetSteeringAngle,023_can_TargetSteeringVelocity,024_can_TargetTorque,025_can_TargetBrakePressure,026_can_BrakePressure,027_can_SteeringTorqueVoltage,028_can_SteeringDAC_A,029_can_SteeringDAC_B,030_can_AcceleratorPedal,031_imu_is_valid,032_imu_frame,033_imu_rel_time,034_imu_time_stamp,035_imu_orientation.y,036_imu_orientation.z,037_imu_orientation.w,038_imu_orientation_covariance0,039_imu_orientation_covariance1,040_imu_orientation_covariance2,041_imu_orientation_covariance3,042_imu_orientation_covariance4,043_imu_orientation_covariance5,044_imu_orientation_covariance6,045_imu_orientation_covariance7,046_imu_orientation_covariance8,047_imu_angular_velocity.x,048_imu_angular_velocity.y,049_imu_angular_velocity.z,050_imu_angular_velocity_covariance0,051_imu_angular_velocity_covariance1,052_imu_angular_velocity_covariance2,053_imu_angular_velocity_covariance3,054_imu_angular_velocity_covariance4,055_imu_angular_velocity_covariance5,056_imu_angular_velocity_covariance6,057_imu_angular_velocity_covariance7,058_imu_angular_velocity_covariance8,059_imu_linear_acceleration.x,060_imu_linear_acceleration.y,061_imu_linear_acceleration.z,062_imu_linear_acceleration_covariance0,063_imu_linear_acceleration_covariance1,064_imu_linear_acceleration_covariance2,065_imu_linear_acceleration_covariance3,066_imu_linear_acceleration_covariance4,067_imu_linear_acceleration_covariance5,068_imu_linear_acceleration_covariance6,069_imu_linear_acceleration_covariance7,070_imu_linear_acceleration_covariance8,071_image_is_valid,072_image_frame,073_image_rel_time,074_image_time_stamp,075_img_01-mouth_x,076_img_01-mouth_y,077_img_02-neck_x,078_img_02-neck_y,079_img_03-l_shoulder_x,080_img_03-l_shoulder_y,081_img_04-l_elbow_x,082_img_04-l_elbow_y,083_img_05-l_wrist_x,084_img_05-l_wrist_y,085_img_06-r_shoulder_x,086_img_06-r_shoulder_y,087_img_07-r_elbow_x,088_img_07-r_elbow_y,089_img_08-r_wrist_x,090_img_08-r_wrist_y,091_img_09-l_hip_x,092_img_09-l_hip_y,093_img_10-l_knee_x,094_img_10-l_knee_y,095_img_11-l_ankle_x,096_img_11-l_ankle_y,097_img_12-r_hip_x,098_img_12-r_hip_y,099_img_13-r_knee_x,100_img_13-r_knee_y,101_img_14-r_ankle_x,102_img_14-r_ankle_y,103_img_15-l_eye_x,104_img_15-l_eye_y,105_img_16-r_eye_x,106_img_16-r_eye_y,107_img_17-l_ear_x,108_img_17-l_ear_y,109_img_18-r_ear_x,110_img_18-r_ear_y,111_img_orientation,112_img_valid,113_img_label
0,0,1,0,-0.005000114,1.51712E+18,33.95,-4.175,1.115676884,-2.11099404,36.6439868,-3.854714772,-0.451961419,2.053764803,34.11384559,0,0,0.076180696,1.51712E+18,25.1,0.7,12,0,0,0,0,0,0,2.496416016,2.496416016,19.75,1,0,-0.006807089,1.51712E+18,0.008438813,0.720451456,0.693425012,1.23E-06,0,0,0,7.57E-07,0,0,0,0.00025921,0.00826,0.0075,-0.00109,0.000436332,0,0,0,0.000436332,0,0,0,0.000436332,1.2094,0.0046,9.2653,0.0004,0,0,0,0.0004,0,0,0,0.0004,0,0,0.001836061,1.51712E+18,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1
1,0.01,0,0,-0.005000114,1.51712E+18,33.95,-4.175,1.115676884,-2.11099404,36.6439868,-3.854714772,-0.451961419,2.053764803,34.11384559,0,0,0.076180696,1.51712E+18,25.1,0.7,12,0,0,0,0,0,0,2.496416016,2.496416016,19.75,1,1,0.003479481,1.51712E+18,0.008465049,0.720472645,0.693402971,1.23E-06,0,0,0,7.57E-07,0,0,0,0.00025921,0.00838,-0.00097,0.00626,0.000436332,0,0,0,0.000436332,0,0,0,0.000436332,1.1776,0.0792,9.4268,0.0004,0,0,0,0.0004,0,0,0,0.0004,1,0,0.001836061,1.51712E+18,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1
2,0.02,0,0,-0.005000114,1.51712E+18,33.95,-4.175,1.115676884,-2.11099404,36.6439868,-3.854714772,-0.451961419,2.053764803,34.11384559,0,0,0.076180696,1.51712E+18,25.1,0.7,12,0,0,0,0,0,0,2.496416016,2.496416016,19.75,1,2,0.013227701,1.51712E+18,0.008492132,0.720448749,0.693427635,1.23E-06,0,0,0,7.57E-07,0,0,0,0.00025921,0.00627,0.00118,-0.00681,0.000436332,0,0,0,0.000436332,0,0,0,0.000436332,1.1175,0.2108,10.259,0.0004,0,0,0,0.0004,0,0,0,0.0004,0,0,0.001836061,1.51712E+18,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1
3,0.03,0,0,-0.005000114,1.51712E+18,33.95,-4.175,1.115676884,-2.11099404,36.6439868,-3.854714772,-0.451961419,2.053764803,34.11384559,0,0,0.076180696,1.51712E+18,25.1,0.7,12,0,0,0,0,0,0,2.496416016,2.496416016,19.75,1,3,0.023603916,1.51712E+18,0.008525253,0.720488918,0.693385773,1.23E-06,0,0,0,7.57E-07,0,0,0,0.00025921,0.00943,0.00036,0.00165,0.000436332,0,0,0,0.000436332,0,0,0,0.000436332,1.1895,0.1349,10.5163,0.0004,0,0,0,0.0004,0,0,0,0.0004,0,0,0.001836061,1.51712E+18,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1
4,0.04,0,0,-0.005000114,1.51712E+18,33.95,-4.175,1.115676884,-2.11099404,36.6439868,-3.854714772,-0.451961419,2.053764803,34.11384559,0,0,0.076180696,1.51712E+18,25.1,0.7,12,0,0,0,0,0,0,2.496416016,2.496416016,19.75,1,4,0.033454418,1.51712E+18,0.008567707,0.720494639,0.693379342,1.23E-06,0,0,0,7.57E-07,0,0,0,0.00025921,0.00675,0.00536,0.00189,0.000436332,0,0,0,0.000436332,0,0,0,0.000436332,1.0877,0.1732,10.0885,0.0004,0,0,0,0.0004,0,0,0,0.0004,0,0,0.001836061,1.51712E+18,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1
5,0.05,0,0,-0.005000114,1.51712E+18,33.95,-4.175,1.115676884,-2.11099404,36.6439868,-3.854714772,-0.451961419,2.053764803,34.11384559,0,0,0.076180696,1.51712E+18,25.1,0.7,12,0,0,0,0,0,0,2.496416016,2.496416016,19.75,1,5,0.043400049,1.51712E+18,0.008558681,0.720492334,0.693382083,1.23E-06,0,0,0,7.57E-07,0,0,0,0.00025921,0.00234,-0.00494,-0.00069,0.000436332,0,0,0,0.000436332,0,0,0,0.000436332,1.2998,0.0897,10.2028,0.0004,0,0,0,0.0004,0,0,0,0.0004,0,0,0.001836061,1.51712E+18,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1
6,0.06,0,0,-0.005000114,1.51712E+18,33.95,-4.175,1.115676884,-2.11099404,36.6439868,-3.854714772,-0.451961419,2.053764803,34.11384559,0,0,0.076180696,1.51712E+18,25.1,0.7,12,0,0,0,0,0,0,2.496416016,2.496416016,19.75,1,6,0.053186655,1.51712E+18,0.00855057,0.720536466,0.693336513,1.23E-06,0,0,0,7.57E-07,0,0,0,0.00025921,0.00212,-0.00395,0.00302,0.000436332,0,0,0,0.000436332,0,0,0,0.000436332,1.3087,0.1538,10.1022,0.0004,0,0,0,0.0004,0,0,0,0.0004,0,0,0.001836061,1.51712E+18,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1
7,0.07,0,0,-0.005000114,1.51712E+18,33.95,-4.175,1.115676884,-2.11099404,36.6439868,-3.854714772,-0.451961419,2.053764803,34.11384559,0,0,0.076180696,1.51712E+18,25.1,0.7,12,0,0,0,0,0,0,2.496416016,2.496416016,19.75,1,7,0.063310385,1.51712E+18,0.00851742,0.720533059,0.693340486,1.23E-06,0,0,0,7.57E-07,0,0,0,0.00025921,-0.00446,-0.00488,-0.00101,0.000436332,0,0,0,0.000436332,0,0,0,0.000436332,1.0573,0.1025,9.8851,0.0004,0,0,0,0.0004,0,0,0,0.0004,1,1,0.069365025,1.51712E+18,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1
8,0.08,0,0,-0.005000114,1.51712E+18,33.95,-4.175,1.115676884,-2.11099404,36.6439868,-3.854714772,-0.451961419,2.053764803,34.11384559,1,0,0.076180696,1.51712E+18,25.1,0.7,12,0,0,0,0,0,0,2.496416016,2.496416016,19.75,1,8,0.075284719,1.51712E+18,0.00851413,0.720524776,0.69334905,1.23E-06,0,0,0,7.57E-07,0,0,0,0.00025921,-0.00184,0.00093,-0.00239,0.000436332,0,0,0,0.000436332,0,0,0,0.000436332,1.0784,-0.0973,10.2014,0.0004,0,0,0,0.0004,0,0,0,0.0004,0,1,0.069365025,1.51712E+18,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1
9,0.09,0,0,-0.005000114,1.51712E+18,33.95,-4.175,1.115676884,-2.11099404,36.6439868,-3.854714772,-0.451961419,2.053764803,34.11384559,0,0,0.076180696,1.51712E+18,25.1,0.7,12,0,0,0,0,0,0,2.496416016,2.496416016,19.75,1,9,0.083192348,1.51712E+18,0.008438052,0.72055896,0.69331407,1.23E-06,0,0,0,7.57E-07,0,0,0,0.00025921,-0.01662,-0.00408,0.00039,0.000436332,0,0,0,0.000436332,0,0,0,0.000436332,0.9572,-0.0522,9.7638,0.0004,0,0,0,0.0004,0,0,0,0.0004,0,1,0.069365025,1.51712E+18,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1
