000_number,001_rel_time,002_lidar_is_valid,003_lidar_frame,004_lidar_rel_time,005_lidar_time_stamp,006_lidar_ped_x,007_lidar_ped_y,008_lidar_curve_x1,009_lidar_curve_y1,010_lidar_curve_x2,011_lidar_curve_y2,012_lidar_pc_lat,013_lidar_vc_lat,014_lidar_pv_lon,015_can_is_valid,016_can_frame,017_can_rel_time,018_can_time_stamp,019_can_VehicleSpeed,020_can_SteeringAngle,021_can_SteeringVelocity,022_can_TargetSteeringAngle,023_can_TargetSteeringVelocity,024_can_TargetTorque,025_can_TargetBrakePressure,026_can_BrakePressure,027_can_SteeringTorqueVoltage,028_can_SteeringDAC_A,029_can_SteeringDAC_B,030_can_AcceleratorPedal,031_imu_is_valid,032_imu_frame,033_imu_rel_time,034_imu_time_stamp,035_imu_orientation.y,036_imu_orientation.z,037_imu_orientation.w,038_imu_orientation_covariance0,039_imu_orientation_covariance1,040_imu_orientation_covariance2,041_imu_orientation_covariance3,042_imu_orientation_covariance4,043_imu_orientation_covariance5,044_imu_orientation_covariance6,045_imu_orientation_covariance7,046_imu_orientation_covariance8,047_imu_angular_velocity.x,048_imu_angular_velocity.y,049_imu_angular_velocity.z,050_imu_angular_velocity_covariance0,051_imu_angular_velocity_covariance1,052_imu_angular_velocity_covariance2,053_imu_angular_velocity_covariance3,054_imu_angular_velocity_covariance4,055_imu_angular_velocity_covariance5,056_imu_angular_velocity_covariance6,057_imu_angular_velocity_covariance7,058_imu_angular_velocity_covariance8,059_imu_linear_acceleration.x,060_imu_linear_acceleration.y,061_imu_linear_acceleration.z,062_imu_linear_acceleration_covariance0,063_imu_linear_acceleration_covariance1,064_imu_linear_acceleration_covariance2,065_imu_linear_acceleration_covariance3,066_imu_linear_acceleration_covariance4,067_imu_linear_acceleration_covariance5,068_imu_linear_acceleration_covariance6,069_imu_linear_acceleration_covariance7,070_imu_linear_acceleration_covariance8,071_image_is_valid,072_image_frame,073_image_rel_time,074_image_time_stamp,075_img_01-mouth_x,076_img_01-mouth_y,077_img_02-neck_x,078_img_02-neck_y,079_img_03-l_shoulder_x,080_img_03-l_shoulder_y,081_img_04-l_elbow_x,082_img_04-l_elbow_y,083_img_05-l_wrist_x,084_img_05-l_wrist_y,085_img_06-r_shoulder_x,086_img_06-r_shoulder_y,087_img_07-r_elbow_x,088_img_07-r_elbow_y,089_img_08-r_wrist_x,090_img_08-r_wrist_y,091_img_09-l_hip_x,092_img_09-l_hip_y,093_img_10-l_knee_x,094_img_10-l_knee_y,095_img_11-l_ankle_x,096_img_11-l_ankle_y,097_img_12-r_hip_x,098_img_12-r_hip_y,099_img_13-r_knee_x,100_img_13-r_knee_y,101_img_14-r_ankle_x,102_img_14-r_ankle_y,103_img_15-l_eye_x,104_img_15-l_eye_y,105_img_16-r_eye_x,106_img_16-r_eye_y,107_img_17-l_ear_x,108_img_17-l_ear_y,109_img_18-r_ear_x,110_img_18-r_ear_y,111_img_orientation,112_img_valid,113_img_label
0,0,1,0,-0.005000114,1.52E+18,34.15,-4.175,0.974583932,-2.099007131,39.45182531,-3.697199759,-0.697415776,2.056753329,34.29384314,0,0,0.044179678,1.52E+18,21.96,1.2,16,0,0,0,0,0,0,2.496416016,2.496416016,16.25,0,0,0.03529191,1.52E+18,0.007678193,0.720319187,0.693580498,1.04E-06,0,0,0,7.40E-07,0,0,0,0.00013271,0.01234,-0.00235,0.00122,0.000436332,0,0,0,0.000436332,0,0,0,0.000436332,0.7645,0.077,9.7304,0.0004,0,0,0,0.0004,0,0,0,0.0004,0,0,0.048653841,1.52E+18,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,264.9611317,0,1
1,0.01,0,0,-0.005000114,1.52E+18,34.15,-4.175,0.974583932,-2.099007131,39.45182531,-3.697199759,-0.697415776,2.056753329,34.29384314,0,0,0.044179678,1.52E+18,21.96,1.2,16,0,0,0,0,0,0,2.496416016,2.496416016,16.25,0,0,0.03529191,1.52E+18,0.007678193,0.720319187,0.693580498,1.04E-06,0,0,0,7.40E-07,0,0,0,0.00013271,0.01234,-0.00235,0.00122,0.000436332,0,0,0,0.000436332,0,0,0,0.000436332,0.7645,0.077,9.7304,0.0004,0,0,0,0.0004,0,0,0,0.0004,0,0,0.048653841,1.52E+18,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,264.9611317,0,1
2,0.02,0,0,-0.005000114,1.52E+18,34.15,-4.175,0.974583932,-2.099007131,39.45182531,-3.697199759,-0.697415776,2.056753329,34.29384314,0,0,0.044179678,1.52E+18,21.96,1.2,16,0,0,0,0,0,0,2.496416016,2.496416016,16.25,0,0,0.03529191,1.52E+18,0.007678193,0.720319187,0.693580498,1.04E-06,0,0,0,7.40E-07,0,0,0,0.00013271,0.01234,-0.00235,0.00122,0.000436332,0,0,0,0.000436332,0,0,0,0.000436332,0.7645,0.077,9.7304,0.0004,0,0,0,0.0004,0,0,0,0.0004,0,0,0.048653841,1.52E+18,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,264.9611317,0,1
3,0.03,0,0,-0.005000114,1.52E+18,34.15,-4.175,0.974583932,-2.099007131,39.45182531,-3.697199759,-0.697415776,2.056753329,34.29384314,0,0,0.044179678,1.52E+18,21.96,1.2,16,0,0,0,0,0,0,2.496416016,2.496416016,16.25,0,0,0.03529191,1.52E+18,0.007678193,0.720319187,0.693580498,1.04E-06,0,0,0,7.40E-07,0,0,0,0.00013271,0.01234,-0.00235,0.00122,0.000436332,0,0,0,0.000436332,0,0,0,0.000436332,0.7645,0.077,9.7304,0.0004,0,0,0,0.0004,0,0,0,0.0004,0,0,0.048653841,1.52E+18,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,264.9611317,0,1
4,0.04,0,0,-0.005000114,1.52E+18,34.15,-4.175,0.974583932,-2.099007131,39.45182531,-3.697199759,-0.697415776,2.056753329,34.29384314,0,0,0.044179678,1.52E+18,21.96,1.2,16,0,0,0,0,0,0,2.496416016,2.496416016,16.25,1,0,0.03529191,1.52E+18,0.007678193,0.720319187,0.693580498,1.04E-06,0,0,0,7.40E-07,0,0,0,0.00013271,0.01234,-0.00235,0.00122,0.000436332,0,0,0,0.000436332,0,0,0,0.000436332,0.7645,0.077,9.7304,0.0004,0,0,0,0.0004,0,0,0,0.0004,0,0,0.048653841,1.52E+18,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,264.9611317,0,1
5,0.05,0,0,-0.005000114,1.52E+18,34.15,-4.175,0.974583932,-2.099007131,39.45182531,-3.697199759,-0.697415776,2.056753329,34.29384314,1,0,0.044179678,1.52E+18,21.96,1.2,16,0,0,0,0,0,0,2.496416016,2.496416016,16.25,1,1,0.045035601,1.52E+18,0.00780932,0.720352779,0.693544643,1.04E-06,0,0,0,7.40E-07,0,0,0,0.00013271,0.02843,0.00862,0.01015,0.000436332,0,0,0,0.000436332,0,0,0,0.000436332,0.9391,0.0907,9.7324,0.0004,0,0,0,0.0004,0,0,0,0.0004,1,0,0.048653841,1.52E+18,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,264.9611317,0,1
6,0.06,0,0,-0.005000114,1.52E+18,34.15,-4.175,0.974583932,-2.099007131,39.45182531,-3.697199759,-0.697415776,2.056753329,34.29384314,0,0,0.044179678,1.52E+18,21.96,1.2,16,0,0,0,0,0,0,2.496416016,2.496416016,16.25,1,2,0.055119991,1.52E+18,0.007901991,0.720349676,0.693547235,1.04E-06,0,0,0,7.40E-07,0,0,0,0.00013271,0.02117,0.00476,-0.00047,0.000436332,0,0,0,0.000436332,0,0,0,0.000436332,0.7973,-0.0551,9.6165,0.0004,0,0,0,0.0004,0,0,0,0.0004,0,0,0.048653841,1.52E+18,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,264.9611317,0,1
7,0.07,0,0,-0.005000114,1.52E+18,34.15,-4.175,0.974583932,-2.099007131,39.45182531,-3.697199759,-0.697415776,2.056753329,34.29384314,0,0,0.044179678,1.52E+18,21.96,1.2,16,0,0,0,0,0,0,2.496416016,2.496416016,16.25,1,3,0.064921141,1.52E+18,0.007980875,0.720333201,0.69356396,1.04E-06,0,0,0,7.40E-07,0,0,0,0.00013271,0.02063,0.00111,0.00198,0.000436332,0,0,0,0.000436332,0,0,0,0.000436332,0.7247,0.0634,9.9547,0.0004,0,0,0,0.0004,0,0,0,0.0004,0,0,0.048653841,1.52E+18,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,264.9611317,0,1
8,0.08,0,0,-0.005000114,1.52E+18,34.15,-4.175,0.974583932,-2.099007131,39.45182531,-3.697199759,-0.697415776,2.056753329,34.29384314,0,0,0.044179678,1.52E+18,21.96,1.2,16,0,0,0,0,0,0,2.496416016,2.496416016,16.25,1,4,0.075069189,1.52E+18,0.008022228,0.720328926,0.693568176,1.04E-06,0,0,0,7.40E-07,0,0,0,0.00013271,0.01078,0.00068,-0.00112,0.000436332,0,0,0,0.000436332,0,0,0,0.000436332,0.9252,0.0256,10.2287,0.0004,0,0,0,0.0004,0,0,0,0.0004,0,0,0.048653841,1.52E+18,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,264.9611317,0,1
9,0.09,0,0,-0.005000114,1.52E+18,34.15,-4.175,0.974583932,-2.099007131,39.45182531,-3.697199759,-0.697415776,2.056753329,34.29384314,0,0,0.044179678,1.52E+18,21.96,1.2,16,0,0,0,0,0,0,2.496416016,2.496416016,16.25,1,5,0.085031748,1.52E+18,0.008048493,0.720343544,0.6935529,1.04E-06,0,0,0,7.40E-07,0,0,0,0.00013271,0.00804,-0.00051,0.00437,0.000436332,0,0,0,0.000436332,0,0,0,0.000436332,0.9915,0.0423,9.6555,0.0004,0,0,0,0.0004,0,0,0,0.0004,0,0,0.048653841,1.52E+18,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,264.9611317,0,1
