%time,field.header.seq,field.header.stamp,field.header.frame_id,field.status.status,field.status.service,field.latitude,field.longitude,field.altitude,field.position_covariance0,field.position_covariance1,field.position_covariance2,field.position_covariance3,field.position_covariance4,field.position_covariance5,field.position_covariance6,field.position_covariance7,field.position_covariance8,field.position_covariance_type
1517122675935295117,40976,1517122675935098838,gps,0,1,39.9950292346,116.324628676,50.2323684692,0.714025,0.0,0.0,0.0,0.727609,0.0,0.0,0.0,4.460544,2
1517122675945389632,40977,1517122675945204901,gps,0,1,39.995029258,116.32462808,50.2259750366,0.714025,0.0,0.0,0.0,0.727609,0.0,0.0,0.0,4.460544,2
1517122675955218194,40978,1517122675955001773,gps,0,1,39.9950292547,116.324627494,50.2265281677,0.714025,0.0,0.0,0.0,0.727609,0.0,0.0,0.0,4.460544,2
1517122675965265980,40979,1517122675965084827,gps,0,1,39.995029252,116.32462691,50.2270469666,0.714025,0.0,0.0,0.0,0.727609,0.0,0.0,0.0,4.460544,2
1517122675975475680,40980,1517122675975023277,gps,0,1,39.9950293055,116.32462634,50.2211074829,0.714025,0.0,0.0,0.0,0.727609,0.0,0.0,0.0,4.460544,2
1517122675985233412,40981,1517122675985115909,gps,0,1,39.9950293015,116.324625751,50.2217407227,0.714025,0.0,0.0,0.0,0.727609,0.0,0.0,0.0,4.460544,2
1517122675995413037,40982,1517122675995172599,gps,0,1,39.9950292982,116.324625165,50.2223014832,0.714025,0.0,0.0,0.0,0.727609,0.0,0.0,0.0,4.460544,2
1517122676005317659,40983,1517122676005115620,gps,0,1,39.9950293491,116.324624591,50.2167243958,0.714025,0.0,0.0,0.0,0.727609,0.0,0.0,0.0,4.460544,2
1517122676015149986,40984,1517122676015017358,gps,0,1,39.9950293446,116.324623999,50.2173461914,0.714025,0.0,0.0,0.0,0.727609,0.0,0.0,0.0,4.460544,2
1517122676025294169,40985,1517122676025092193,gps,0,1,39.9950293407,116.32462341,50.2180099487,0.714025,0.0,0.0,0.0,0.727609,0.0,0.0,0.0,4.460544,2
1517122676035324101,40986,1517122676035030720,gps,0,1,39.9950293892,116.324622832,50.212726593,0.714025,0.0,0.0,0.0,0.727609,0.0,0.0,0.0,4.460544,2
1517122676045188258,40987,1517122676045057724,gps,0,1,39.9950293842,116.324622238,50.2133903503,0.714025,0.0,0.0,0.0,0.727609,0.0,0.0,0.0,4.460544,2
1517122676055226179,40988,1517122676055087651,gps,0,1,39.99502938,116.324621646,50.2140464783,0.714025,0.0,0.0,0.0,0.727609,0.0,0.0,0.0,4.460544,2
1517122676065352807,40989,1517122676065010098,gps,0,1,39.9950294265,116.324621065,50.2091140747,0.714025,0.0,0.0,0.0,0.727609,0.0,0.0,0.0,4.460544,2
