0-number,1-lidar_rel_time,2-lidar_time,3-can_veh_speed,4-imu_veh_acc,5-meroad_ltype,6-meroad_rtype,7-meroad_loffset,8-meroad-roffset,9-lidar_ped_x,10-lidar_ped_y,11-lidar_curve_x1,12-lidar_curve_y1,13-lidar_curve_x2,14-lidar_curve_y2,15-lidar_pc_lat,16-lidar_vc_lat,17-lidar_pv_lon,18-me_is_valid,19-me_obj_id,20-me_obj_x,21-me_obj_y,22-me_obj_relspeed,23-me_obj_width,24-me_obj_length,25-me_obj_height,26-me_obj_speed,27-me_obj_class,01-mouth,02-neck,03-l_shoulder,04-l_elbow,05-l_wrist,06-r_shoulder,07-r_elbow,08-r_wrist,09-l_hip,10-l_knee,11-l_ankle,12-r_hip,13-r_knee,14-r_ankle,15-l_eye,16-r_eye,17-l_ear,18-r_ear,46-orientation
0,0,1517122677.71962,22.74,1.1377,2,1,-1.145742178,2.604257822,30.25,-6.45,-0.0167747696,-2.0032933116,37.091514757,-3.7173020657,-3.0454562884,2.0019337443,30.5153871655,1,40,34.875,-5.25,-5.25,0.6499999762,0,0,0,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,0.1008579731,1517122677.82047,22.94,0.8616,2,1,-1.1353712082,2.6146287918,29.6,-6.525,-0.0739083947,-1.974726499,35.1489715024,-3.7744356908,-3.0301356096,1.9759252596,29.8943971268,1,40,34.0625,-5.3125,-5.4375,0.6499999762,0,0,0,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2,0.2017438412,1517122677.92136,23.13,1.0309,2,1,-1.1301856041,2.6198143959,28.925,-6.5,-0.0167747696,-2.0032933116,34.6633356887,-3.7173020657,-3.0625678157,2.0016791461,29.2105978664,1,40,33.875,-5.375,-5.0625,0.6499999762,0,0,0,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
3,0.302670002,1517122678.02229,23.33,1.1413,2,1,-1.1275928021,2.622407198,28.2,-6.45,-0.0453415822,-2.0032933116,35.4917732532,-3.8030025034,-3.0124148725,2.0030225958,28.4901366617,1,40,33.625,-5.4375,-4.6875,0.6499999762,0,0,0,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
4,0.4034528732,1517122678.12307,23.33,0.9182,2,1,-1.1106481552,2.6393518448,27.55,-6.4,-0.0739083947,-2.0604269367,35.1775383149,-3.8030025034,-2.9704205687,2.0615631546,27.8323847309,1,40,32.8125,-5.5625,0,0.6499999762,0,0,0,3,11,7 ,10,11,6 ,23,11,5 ,23,-1,-1,-1,-1,11,8 ,23,11,8 ,178.564208923
5,0.504322052,1517122678.22394,23.52,1.0447,2,1,-1.0978240967,2.6521759033,26.9,-6.375,0.0403588555,-2.0318601242,34.2348335002,-3.7458688783,-2.993034238,2.0272918885,27.185417977,1,40,32.625,-5.625,0,0.6499999762,0,0,0,3,11,0 ,11,11,8 ,23,11,6 ,23,11,4 ,39,-1,-1,11,9 ,23,11,179.720818875
6,0.6051681042,1517122678.32478,23.74,0.9769,2,1,-1.0914120674,2.6585879326,26.225,-6.3,-0.0167747696,-2.0318601242,34.0919994373,-3.7744356908,-2.9236666998,2.0300695482,26.5122824778,1,40,32.25,-5.6875,0,0.6499999762,0,0,0,3,11,8 ,12,11,1 ,24,11,0 ,24,11,9 ,42,-1,-1,11,9 ,24,11,179.167644609
7,0.7060139179,1517122678.42563,23.87,0.9472,2,1,-1.0782060623,2.6717939377,25.5,-6.275,0.0403588555,-2.0318601242,33.8348981242,-3.9172697537,-2.8183544947,2.0264571997,25.8099481721,1,40,31.25,-5.6875,-3.6875,0.6499999762,0,0,0,3,11,9 ,09,11,9 ,23,11,2 ,23,11,0 ,41,-1,-1,11,2 ,23,11,178.722616879
8,0.8068630695,1517122678.52648,24.08,0.9764,2,1,-1.0616030693,2.6883969307,24.8,-6.2,0.0689256681,-2.0604269367,33.8634649368,-3.8030025034,-2.860544056,2.0541438715,25.086367664,1,40,30.75,-5.6875,-4.625,0.6499999762,0,0,0,3,11,0 ,08,11,4 ,22,11,2 ,22,11,1 ,40,-1,-1,11,5 ,22,11,177.658192461
9,0.9077107906,1517122678.62733,24.24,1.061,2,1,-1.0433015823,2.7066984177,24.125,-6.025,0.1831929184,-2.0604269367,34.1205662499,-3.831569316,-2.7113948872,2.0480791399,24.406221686,1,40,30.1875,-5.625,-6.125,0.6499999762,0,0,0,3,11,2 ,03,11,4 ,13,11,3 ,13,-1,-1,-1,-1,11,7 ,14,11,8 ,179.142747793
