%time,field.header.seq,field.header.stamp,field.header.frame_id,field.orientation.x,field.orientation.y,field.orientation.z,field.orientation.w,field.orientation_covariance0,field.orientation_covariance1,field.orientation_covariance2,field.orientation_covariance3,field.orientation_covariance4,field.orientation_covariance5,field.orientation_covariance6,field.orientation_covariance7,field.orientation_covariance8,field.angular_velocity.x,field.angular_velocity.y,field.angular_velocity.z,field.angular_velocity_covariance0,field.angular_velocity_covariance1,field.angular_velocity_covariance2,field.angular_velocity_covariance3,field.angular_velocity_covariance4,field.angular_velocity_covariance5,field.angular_velocity_covariance6,field.angular_velocity_covariance7,field.angular_velocity_covariance8,field.linear_acceleration.x,field.linear_acceleration.y,field.linear_acceleration.z,field.linear_acceleration_covariance0,field.linear_acceleration_covariance1,field.linear_acceleration_covariance2,field.linear_acceleration_covariance3,field.linear_acceleration_covariance4,field.linear_acceleration_covariance5,field.linear_acceleration_covariance6,field.linear_acceleration_covariance7,field.linear_acceleration_covariance8
1517122727203745775,46103,1517122727203357310,gps,-0.00540751133293,0.00916910238036,0.706499065283,0.707633914631,1.21e-06,0.0,0.0,0.0,7.569e-07,0.0,0.0,0.0,0.0001129969,-0.00379,0.00154,0.01607,0.000436332313,0.0,0.0,0.0,0.000436332313,0.0,0.0,0.0,0.000436332313,1.1556,-0.3492,10.2597,0.0004,0.0,0.0,0.0,0.0004,0.0,0.0,0.0,0.0004
1517122727213612698,46104,1517122727213324392,gps,-0.00544164551253,0.00915799191586,0.706568193799,0.707564772434,1.21e-06,0.0,0.0,0.0,7.569e-07,0.0,0.0,0.0,0.0001129969,-0.00544,0.00313,0.01498,0.000436332313,0.0,0.0,0.0,0.000436332313,0.0,0.0,0.0,0.000436332313,1.1623,-0.2891,9.7614,0.0004,0.0,0.0,0.0,0.0004,0.0,0.0,0.0,0.0004
1517122727223526858,46105,1517122727223382815,gps,-0.00545596112184,0.00917797347702,0.706636912294,0.707495774881,1.21e-06,0.0,0.0,0.0,7.569e-07,0.0,0.0,0.0,0.0001129969,0.00142,0.00477,0.01952,0.000436332313,0.0,0.0,0.0,0.000436332313,0.0,0.0,0.0,0.000436332313,1.1691,-0.2438,9.7273,0.0004,0.0,0.0,0.0,0.0004,0.0,0.0,0.0,0.0004
1517122727233670950,46106,1517122727233472864,gps,-0.00541287190618,0.00917326464147,0.706694625721,0.707438518891,1.21e-06,0.0,0.0,0.0,7.569e-07,0.0,0.0,0.0,0.0001129969,0.00594,-0.00682,0.0164,0.000436332313,0.0,0.0,0.0,0.000436332313,0.0,0.0,0.0,0.000436332313,1.0913,-0.263,10.0331,0.0004,0.0,0.0,0.0,0.0004,0.0,0.0,0.0,0.0004
1517122727243463661,46107,1517122727243242358,gps,-0.00542318454236,0.00917034193226,0.706753726496,0.707379434237,1.21e-06,0.0,0.0,0.0,7.569e-07,0.0,0.0,0.0,0.0001129969,-0.00115,0.00094,0.01236,0.000436332313,0.0,0.0,0.0,0.000436332313,0.0,0.0,0.0,0.000436332313,1.0899,-0.2706,10.0118,0.0004,0.0,0.0,0.0,0.0004,0.0,0.0,0.0,0.0004
1517122727253444752,46108,1517122727253298398,gps,-0.00542133261634,0.00914077991202,0.706828726384,0.707304889601,1.21e-06,0.0,0.0,0.0,7.569e-07,0.0,0.0,0.0,0.0001129969,-0.00319,-0.00458,0.02112,0.000436332313,0.0,0.0,0.0,0.000436332313,0.0,0.0,0.0,0.000436332313,1.1571,-0.071,10.0661,0.0004,0.0,0.0,0.0,0.0004,0.0,0.0,0.0,0.0004
1517122727263535757,46109,1517122727263272371,gps,-0.00541552102258,0.00910722448274,0.706871238518,0.707262880936,1.21e-06,0.0,0.0,0.0,7.569e-07,0.0,0.0,0.0,0.0001129969,-0.00361,-0.00557,0.01189,0.000436332313,0.0,0.0,0.0,0.000436332313,0.0,0.0,0.0,0.000436332313,1.1756,-0.0379,9.9475,0.0004,0.0,0.0,0.0,0.0004,0.0,0.0,0.0,0.0004
1517122727273472184,46110,1517122727273263320,gps,-0.00537985089211,0.00906414686387,0.706956650017,0.707178332136,1.21e-06,0.0,0.0,0.0,7.569e-07,0.0,0.0,0.0,0.0001129969,-5e-05,-0.0113,0.01992,0.000436332313,0.0,0.0,0.0,0.000436332313,0.0,0.0,0.0,0.000436332313,1.1028,-0.0732,9.7563,0.0004,0.0,0.0,0.0,0.0004,0.0,0.0,0.0,0.0004
1517122727283462478,46111,1517122727283275197,gps,-0.0053528108199,0.00901447879066,0.707026578294,0.707109259008,1.21e-06,0.0,0.0,0.0,7.569e-07,0.0,0.0,0.0,0.0001129969,-0.00261,-0.01086,0.01957,0.000436332313,0.0,0.0,0.0,0.000436332313,0.0,0.0,0.0,0.000436332313,1.0983,-0.0845,10.12,0.0004,0.0,0.0,0.0,0.0004,0.0,0.0,0.0,0.0004
1517122727293524096,46112,1517122727293256033,gps,-0.00530691835501,0.00898729697497,0.70711565251,0.70702087599,1.21e-06,0.0,0.0,0.0,7.569e-07,0.0,0.0,0.0,0.0001129969,0.0034,-0.01052,0.02501,0.000436332313,0.0,0.0,0.0,0.000436332313,0.0,0.0,0.0,0.000436332313,1.1958,-0.0696,10.0383,0.0004,0.0,0.0,0.0,0.0004,0.0,0.0,0.0,0.0004
