%time,field.obs0.id,field.obs0.x,field.obs0.y,field.obs0.relspeed,field.obs0.width,field.obs0.length,field.obs0.height,field.obs0.speed,field.obs0.classification,field.isvalid
1517122812712789188,62,32.625,-2.1875,-7.75,0.649999976158,0.0,0.0,0.0,3,1
1517122812815942577,62,32.3125,-2.1875,-6.25,0.649999976158,0.0,0.0,0.0,3,1
1517122812917440484,62,31.875,-2.125,-5.3125,0.649999976158,0.0,0.0,0.0,3,1
1517122813016176455,62,30.8125,-2.0625,-4.75,0.649999976158,0.0,0.0,0.0,3,1
1517122813109819538,62,30.4375,-2.0,-4.75,0.649999976158,0.0,0.0,0.0,3,1
1517122813203424192,62,29.8125,-2.0,-5.125,0.649999976158,0.0,0.0,0.0,3,1
1517122813303609673,62,28.5,-1.875,-7.3125,0.649999976158,0.0,0.0,0.0,3,1
1517122813395709394,62,27.8125,-1.75,-7.5625,0.649999976158,0.0,0.0,0.0,3,1
1517122813488034335,62,27.0625,-1.625,-8.875,0.649999976158,0.0,0.0,0.0,3,1
1517122813584564610,62,25.6875,-1.5,-9.8125,0.649999976158,0.0,0.0,0.0,3,1
1517122813684915224,62,23.125,-1.1875,-8.625,0.600000023842,0.0,0.0,0.0,3,1
1517122813781736597,62,21.9375,-1.0625,-7.5625,0.600000023842,0.0,0.0,0.0,3,1
1517122813882791200,62,20.75,-1.0,-6.75,0.550000011921,0.0,0.0,0.0,3,1
1517122813976322679,62,19.5625,-0.8125,-5.625,0.550000011921,0.0,0.0,0.0,3,1
1517122814073223954,62,19.5,-0.75,-5.5,0.550000011921,0.0,0.0,0.0,3,1
1517122814173721841,62,18.875,-0.625,-6.5,0.550000011921,0.0,0.0,0.0,3,1
1517122814279242790,62,17.625,-0.4375,-6.9375,0.550000011921,0.0,0.0,0.0,3,1
1517122814388542790,62,17.0625,-0.375,-7.4375,0.550000011921,0.0,0.0,0.0,3,1
1517122814503177157,62,16.4375,-0.25,-8.375,0.550000011921,0.0,0.0,0.0,3,1
1517122814614474979,62,15.25,-0.0625,-9.25,0.550000011921,0.0,0.0,0.0,3,1
1517122814726218844,62,15.1875,0.0,-9.5625,0.600000023842,0.0,0.0,0.0,3,1
1517122814838754010,62,14.5,0.1875,-9.6875,0.600000023842,0.0,0.0,0.0,3,1
1517122814950419422,62,14.5,0.25,-11.25,0.600000023842,0.0,0.0,0.0,3,63,52.375,3.4375,-12.25,1.54999995232,0.0,0.0,0.0,0,1
1517122815061242446,62,14.125,0.5,-5.9375,0.649999976158,0.0,0.0,0.0,3,63,51.375,3.375,-11.1875,1.54999995232,0.0,0.0,0.0,0,1
1517122815166460433,62,13.5625,0.5625,-6.125,0.600000023842,0.0,0.0,0.0,3,63,50.6875,3.375,-10.9375,1.54999995232,0.0,0.0,0.0,0,1
1517122815270945290,62,12.5,0.75,-6.25,0.600000023842,0.0,0.0,0.0,3,63,49.0,3.25,-10.6875,1.54999995232,0.0,0.0,0.0,0,1
1517122815377894880,62,12.0,0.9375,-5.6875,0.600000023842,0.0,0.0,0.0,3,63,48.0,3.1875,-10.5,1.54999995232,0.0,0.0,0.0,0,1
1517122815481610141,62,10.9375,1.125,-5.3125,0.600000023842,0.0,0.0,0.0,3,63,46.5625,3.1875,-10.0,1.54999995232,0.0,0.0,0.0,0,1
1517122815582689820,62,10.4375,1.25,-5.3125,0.600000023842,0.0,0.0,0.0,3,63,44.6875,3.125,-11.6875,1.54999995232,0.0,0.0,0.0,0,1
1517122815684607936,62,9.4375,1.4375,-7.5625,0.600000023842,0.0,0.0,0.0,3,63,44.375,3.1875,-8.8125,1.54999995232,0.0,0.0,0.0,0,1
1517122815784364603,62,9.0,1.5,-6.75,0.600000023842,0.0,0.0,0.0,3,63,43.8125,3.125,-8.5625,1.54999995232,0.0,0.0,0.0,0,1
1517122815887140041,62,8.5,1.6875,-6.5625,0.600000023842,0.0,0.0,0.0,3,63,43.0,3.125,-6.6875,1.5,0.0,0.0,0.0,0,1
1517122815989973098,62,7.625,1.875,-6.5,0.600000023842,0.0,0.0,0.0,3,63,41.625,3.125,-6.25,1.5,0.0,0.0,0.0,0,61,113.0,-0.3125,-4.5625,1.64999997616,0.0,0.0,0.0,0,1
1517122816092865244,62,7.1875,1.875,-6.25,0.600000023842,0.0,0.0,0.0,3,63,41.1875,3.125,-6.4375,1.5,0.0,0.0,0.0,0,61,111.5,-0.3125,-4.875,1.64999997616,0.0,0.0,0.0,0,1
1517122816196207631,62,6.75,1.9375,-5.6875,0.600000023842,0.0,0.0,0.0,3,63,40.4375,3.125,-6.25,1.5,0.0,0.0,0.0,0,61,109.6875,-0.3125,-4.875,1.64999997616,0.0,0.0,0.0,0,1
1517122816302747516,62,5.875,2.0625,-5.25,0.600000023842,0.0,0.0,0.0,3,63,39.0,3.125,-6.6875,1.5,0.0,0.0,0.0,0,61,108.9375,-0.25,-2.0625,1.64999997616,0.0,0.0,0.0,0,1
1517122816404114993,62,5.4375,2.125,-5.0,0.600000023842,0.0,0.0,0.0,3,63,38.5625,3.125,-6.625,1.54999995232,0.0,0.0,0.0,0,61,106.3125,-0.1875,-4.0,1.64999997616,0.0,0.0,0.0,0,1
1517122816501801125,63,37.3125,3.125,-6.5625,1.5,0.0,0.0,0.0,0,61,103.125,-0.0625,-4.9375,1.70000004768,0.0,0.0,0.0,0,1
1517122816597042035,63,36.125,3.0625,-6.375,1.5,0.0,0.0,0.0,0,61,100.1875,-0.0625,-5.75,1.64999997616,0.0,0.0,0.0,0,1
1517122816691211741,63,36.0,3.0625,-5.6875,1.54999995232,0.0,0.0,0.0,0,61,98.5,-0.0625,-6.1875,1.64999997616,0.0,0.0,0.0,0,1
1517122816797163128,63,35.5,3.125,-5.5,1.54999995232,0.0,0.0,0.0,0,61,96.9375,0.0,-6.25,1.64999997616,0.0,0.0,0.0,0,1
1517122816892803476,63,34.375,3.125,-5.1875,1.5,0.0,0.0,0.0,0,61,94.375,0.0,-6.0625,1.64999997616,0.0,0.0,0.0,0,1
1517122816988870390,63,33.625,3.0625,-4.9375,1.5,0.0,0.0,0.0,0,61,92.8125,0.0,-6.4375,1.64999997616,0.0,0.0,0.0,0,1
1517122817096053351,63,33.1875,3.0625,-4.875,1.5,0.0,0.0,0.0,0,61,91.8125,0.0,-6.375,1.64999997616,0.0,0.0,0.0,0,1
1517122817194229306,63,32.5,3.0625,-4.625,1.54999995232,0.0,0.0,0.0,0,61,90.0625,0.0625,-6.4375,1.64999997616,0.0,0.0,0.0,0,1
1517122817290328077,63,32.0,3.0625,-4.5,1.5,0.0,0.0,0.0,0,61,88.375,0.0625,-6.75,1.64999997616,0.0,0.0,0.0,0,1
1517122817392833416,63,31.0,3.0,-4.375,1.5,0.0,0.0,0.0,0,61,86.8125,0.0625,-7.0,1.60000002384,0.0,0.0,0.0,0,1
1517122817491681608,63,30.25,3.0,-4.375,1.5,0.0,0.0,0.0,0,61,84.8125,0.125,-7.125,1.60000002384,0.0,0.0,0.0,0,1
