0-number,1-lidar_rel_time,2-lidar_time,3-can_veh_speed,4-imu_veh_acc,5-meroad_ltype,6-meroad_rtype,7-meroad_loffset,8-meroad-roffset,9-lidar_ped_x,10-lidar_ped_y,11-lidar_curve_x1,12-lidar_curve_y1,13-lidar_curve_x2,14-lidar_curve_y2,15-lidar_pc_lat,16-lidar_vc_lat,17-lidar_pv_lon,18-me_is_valid,19-me_obj_id,20-me_obj_x,21-me_obj_y,22-me_obj_relspeed,23-me_obj_width,24-me_obj_length,25-me_obj_height,26-me_obj_speed,27-me_obj_class
0,0,1517122812.66943,25.9,0.3792,2,2,0,0,29.925,-3.625,0.972697831,-2.2034655049,31.7435620731,-3.411293821,-0.284869618,2.1636186906,30.0441534246,1,62,32.625,-2.1875,-7.75,0.6499999762,0,0,0,3
1,0.1008529663,1517122812.77028,26.04,0.3978,2,2,0,0,29.125,-3.525,0.5125727582,-2.1747076879,33.0664216573,-3.3537781869,-0.3137707462,2.1547299258,29.2335039712,1,62,32.3125,-2.1875,-6.25,0.6499999762,0,0,0,3
2,0.2017300129,1517122812.87116,26.16,0.3887,2,2,0,0,28.35,-3.4,0.2825102218,-2.1171920538,32.3474762311,-3.4688094551,-0.0996055755,2.103415674,28.4680381722,1,62,31.875,-2.125,-5.3125,0.6499999762,0,0,0,3
3,0.3025689125,1517122812.972,26.38,0.3481,2,2,0,0,27.65,-3.275,0.2249945877,-2.1171920538,29.6442414285,-3.1812312846,-0.1657883033,2.1076763088,27.7503060102,1,62,30.8125,-2.0625,-4.75,0.6499999762,0,0,0,3
4,0.4035289288,1517122813.07296,26.63,0.3564,2,1,-1.0498325825,2.7001674175,26.85,-3.2,0.0524476854,-2.1459498708,29.6154836115,-3.1812312846,-0.1155436175,2.1427996598,26.9455448199,1,62,30.4375,-2,-4.75,0.6499999762,0,0,0,3
5,0.5043168068,1517122813.17375,26.88,0.5215,2,1,-1.039832592,2.710167408,26.075,-3.125,0.1099633195,-2.1171920538,28.0050458567,-2.9224109312,-0.2581941857,2.1131376578,26.1543119827,1,62,29.8125,-2,-5.125,0.6499999762,0,0,0,3
6,0.6051819324,1517122813.27461,27.14,0.2362,2,1,-1.0248327255,2.7251672745,25.3,-2.975,0.1099633195,-2.0884342367,27.7749833203,-3.0374421994,-0.0224452737,2.0834366429,25.3871204817,1,62,28.5,-1.875,-7.3125,0.6499999762,0,0,0,3
7,0.7060117722,1517122813.37544,27.27,0.3364,2,1,-1.0373325348,2.7126674652,24.525,-2.8,0.0236898684,-2.0596764197,29.6154836115,-3.1812312846,0.1881624065,2.0573014508,24.6134504739,1,62,27.8125,-1.75,-7.5625,0.6499999762,0,0,0,3
8,0.8070600033,1517122813.47649,27.58,0.3677,2,1,-1.0335826874,2.7164173126,23.825,-2.65,0.0524476854,-2.0884342367,27.1998269794,-3.0374421994,0.2693017583,2.0853270071,23.903036989,1,62,27.0625,-1.625,-8.875,0.6499999762,0,0,0,3
9,0.9077498913,1517122813.57718,27.64,0.3911,2,1,-1.0317077637,2.7182922363,23.075,-2.425,0.0524476854,-2.0596764197,26.3370924679,-3.0949578334,0.5410532694,2.0560164537,23.1525622027,1,62,25.6875,-1.5,-9.8125,0.6499999762,0,0,0,3
10,1.0086016655,1517122813.67803,27.71,0.4742,2,1,-1.0207700729,2.7292299271,22.3,-2.25,0.1099633195,-2.0596764197,26.8259753577,-3.2387469187,0.788232618,2.0528251194,22.3775178652,1,62,23.125,-1.1875,-8.625,0.6000000238,0,0,0,3
11,1.1094226837,1517122813.77885,27.71,0.3438,2,1,-1.0153012276,2.7346987724,21.525,-2.15,-0.0338257657,-2.1459498708,25.7619361269,-3.2387469187,0.90844095,2.1454585246,21.5967106875,1,62,21.9375,-1.0625,-7.5625,0.6000000238,0,0,0,3
12,1.2102918625,1517122813.87972,27.61,0.5535,2,1,-1.0025668144,2.7474331856,20.725,-1.95,0.0524476854,-2.0596764197,24.7554125302,-3.0949578334,0.9751904546,2.0556738983,20.7884747042,1,62,20.75,-1,-6.75,0.5500000119,0,0,0,3
13,1.3111579418,1517122813.98059,27.51,0.4909,2,1,-0.9861998558,2.7638001442,20.1,-1.8,0.0236898684,-2.1459498708,22.9436700562,-3.0949578334,1.1762070968,2.1431326827,20.1572581199,1,62,19.5625,-0.8125,-5.625,0.5500000119,0,0,0,3
14,1.4120099545,1517122814.08144,27.46,0.4677,2,1,-0.9780163765,2.7719836235,19.225,-1.575,0.0524476854,-2.0884342367,24.8992016155,-3.3250203698,1.4658095486,2.0832455876,19.2795234054,1,62,19.5,-0.75,-5.5,0.5500000119,0,0,0,3
15,1.5128688812,1517122814.1823,27.36,0.3618,2,1,-0.963924408,2.786075592,18.45,-1.4,0.0236898684,-2.1171920538,22.4835449834,-3.0662000164,1.4944350808,2.1143045177,18.4926542681,1,62,18.875,-0.625,-6.5,0.5500000119,0,0,0,3
16,1.6137089729,1517122814.28314,27.3,0.6079,2,1,-0.9468784332,2.8031215668,17.775,-1.275,-0.0625835828,-2.1459498708,19.7803101808,-3.0374421994,1.6706633004,2.1465962546,17.8143127238,1,62,17.625,-0.4375,-6.9375,0.5500000119,0,0,0,3
17,1.7145857811,1517122814.38402,27.09,0.6723,2,2,-0.9468784332,2.8031215668,16.975,-1.125,-0.0338257657,-2.2034655049,19.7227945467,-2.9799265653,1.7455870493,2.2030941165,17.0060853015,1,62,17.0625,-0.375,-7.4375,0.5500000119,0,0,0,3
18,1.8154230118,1517122814.48485,26.91,0.5978,2,2,-0.9468784332,2.8031215668,16.275,-0.975,0.1674789536,-2.0596764197,18.7737865841,-3.1524734675,2.0272197473,2.0463135822,16.3041677318,1,62,16.4375,-0.25,-8.375,0.5500000119,0,0,0,3
19,1.9163000584,1517122814.58573,26.81,0.6031,2,2,-0.9468784332,2.8031215668,15.525,-0.825,0.0236898684,-2.1459498708,19.5214898274,-3.0949578334,2.0729844002,2.1422607973,15.5467504894,1,62,15.25,-0.0625,-9.25,0.5500000119,0,0,0,3
20,2.0172698498,1517122814.6867,26.62,0.689,2,2,-0.9468784332,2.8031215668,14.8,-0.575,-0.1200992169,-2.1171920538,18.7737865841,-3.0662000164,2.2887181644,2.1205511681,14.8102108311,1,62,15.1875,0,-9.5625,0.6000000238,0,0,0,3
21,2.1179969311,1517122814.78743,26.31,0.6646,2,2,0,0,14.025,-0.4,-0.0625835828,-2.2034655049,19.7515523638,-3.0949578334,2.4348412983,2.2040515574,14.0288046923,1,62,14.5,0.1875,-9.6875,0.6000000238,0,0,0,3
22,2.2189807892,1517122814.88841,25.85,0.6646,2,2,0,0,13.35,-0.25,-0.0050679487,-2.1171920538,18.6299974989,-3.1812312846,2.6254735536,2.1140380653,13.3425422518,1,62,14.5,0.1875,-9.6875,0.6000000238,0,0,0,3
23,2.3196957111,1517122814.98913,25.37,0.7638,2,2,0,0,12.625,-0.1,-0.0050679487,-2.1747076879,18.3711771454,-3.1237156505,2.723335542,2.1720748588,12.6133554877,1,62,14.5,0.25,-11.25,0.6000000238,0,0,0,3
24,2.4206309319,1517122815.09006,24.79,0.5981,2,2,0,0,11.95,0.025,0.1099633195,-2.2034655049,16.7319815737,-2.807379663,2.6568868447,2.198020053,11.9412129312,1,62,14.125,0.5,-5.9375,0.6499999762,0,0,0,3
25,2.5214128494,1517122815.19084,24.26,0.7288,2,2,0,0,11.25,0.2,0.1099633195,-2.1747076879,17.7097473533,-3.0949578334,2.953159066,2.1659990816,11.2242095115,1,62,13.5625,0.5625,-6.125,0.6000000238,0,0,0,3
26,2.6222639084,1517122815.2917,23.58,0.9617,2,1,-1.409832716,2.340167284,10.575,0.4,0.1099633195,-2.2034655049,14.6326609291,-2.8648952971,3.0769013729,2.1961806787,10.5458501819,1,62,12.5,0.75,-6.25,0.6000000238,0,0,0,3
27,2.7231237888,1517122815.39256,23.07,0.8038,2,1,-1.3998327255,2.3501672745,9.95,0.6,-0.0625835828,-2.2034655049,16.5594346714,-3.0086843823,3.2846523427,2.2039127732,9.9093139007,1,62,12,0.9375,-5.6875,0.6000000238,0,0,0,3
28,2.8240728378,1517122815.4935,22.48,0.7357,2,1,-1.3848326206,2.3651673794,9.475,0.7,0.0524476854,-2.1459498708,16.2143408668,-3.0949578334,3.39338641,2.139185522,9.4176751448,1,62,10.9375,1.125,-5.3125,0.6000000238,0,0,0,3
29,2.9248318672,1517122815.59426,21.92,0.7749,2,1,-1.3773326874,2.3726673126,8.725,0.85,0.0236898684,-2.260981139,13.0509809914,-2.807379663,3.4728833768,2.2580022784,8.6817157818,1,62,10.4375,1.25,-5.3125,0.6000000238,0,0,0,3
30,3.0257630348,1517122815.69519,21.33,0.8519,2,1,-1.3635826111,2.3864173889,8.175,1.05,0.1387211366,-2.2034655049,15.725457977,-3.0374421994,3.6781896298,2.1929064271,8.1072226322,1,62,9.4375,1.4375,-7.5625,0.6000000238,0,0,0,3
31,3.1265509129,1517122815.79598,20.78,1,2,1,-1.3567075729,2.3932924271,7.6,1.2,-0.0050679487,-2.1747076879,16.8470128419,-3.1524734675,3.809550562,2.1713500133,7.5177323018,1,62,9,1.5,-6.75,0.6000000238,0,0,0,3
32,3.2274370193,1517122815.89687,20.14,0.7904,2,1,-1.3532700539,2.3967299461,7.05,1.45,-0.0050679487,-2.2034655049,15.754215794,-3.0662000164,4.0336520213,2.2004480834,6.9601985117,1,62,8.5,1.6875,-6.5625,0.6000000238,0,0,0,3
33,3.3282749653,1517122815.99771,19.92,0.6379,2,1,-1.3415513039,2.4084486961,6.45,1.575,0.0524476854,-2.2034655049,14.9202390996,-3.0374421994,4.1308288738,2.1970698417,6.3516691511,1,62,7.625,1.875,-6.5,0.6000000238,0,0,0,3
34,3.4291539192,1517122816.09859,19.46,0.85,2,1,-1.3356919289,2.4143080711,5.95,1.75,0.0236898684,-2.2897389561,15.2940907212,-3.0086843823,4.3139768665,2.2860913201,5.8611159527,1,62,7.1875,1.875,-6.25,0.6000000238,0,0,0,3
35,3.5299739838,1517122816.19941,19.13,0.9075,2,1,-1.3327622414,2.4172377586,5.375,1.75,0.0524476854,-2.2034655049,15.1215438189,-2.9224109312,4.2026237049,2.1984625414,5.2854955331,1,62,6.75,1.9375,-5.6875,0.6000000238,0,0,0,3
36,3.6308510303,1517122816.30028,19.13,0.8943,2,1,-1.3212974072,2.4287025929,4.875,1.925,-0.1488570339,-2.1747076879,14.3450827586,-2.9511687482,4.362587281,2.1795568597,4.7650423062,1,62,5.875,2.0625,-5.25,0.6000000238,0,0,0,3
37,3.7317068577,1517122816.40114,18.85,0.8342,2,1,-1.3155651093,2.4344348908,4.375,2.125,-0.0338257657,-2.1459498708,13.5686216983,-2.9511687482,4.5240177538,2.1441986345,4.2417815785,1,62,5.4375,2.125,-5,0.6000000238,0,0,0,3
