0-number,1-lidar_rel_time,2-lidar_time,3-can_veh_speed,4-imu_veh_acc,5-meroad_ltype,6-meroad_rtype,7-meroad_loffset,8-meroad-roffset,9-lidar_ped_x,10-lidar_ped_y,11-lidar_curve_x1,12-lidar_curve_y1,13-lidar_curve_x2,14-lidar_curve_y2,15-lidar_pc_lat,16-lidar_vc_lat,17-lidar_pv_lon,18-me_is_valid,19-me_obj_id,20-me_obj_x,21-me_obj_y,22-me_obj_relspeed,23-me_obj_width,24-me_obj_length,25-me_obj_height,26-me_obj_speed,27-me_obj_class
0,0.0,1517122812.6694312,25.9,0.3792,2,2,0.0,0.0,29.925000000000011,-3.625,0.97269783098938944,-2.2034655049407554,31.743562073065732,-3.4112938209848807,-0.28486961797578658,2.1636186906166652,30.044153424629656,1,62,32.625,-2.1875,-7.75,0.649999976158,0.0,0.0,0.0,3
1,0.10085296630859375,1517122812.7702842,26.04,0.3978,2,2,0.0,0.0,29.125,-3.5250000000000021,0.51257275821068049,-2.1747076878920915,33.066421657304545,-3.3537781868875385,-0.31377074623666962,2.1547299258070458,29.233503971165007,1,62,32.3125,-2.1875,-6.25,0.649999976158,0.0,0.0,0.0,3
2,0.20173001289367676,1517122812.8711612,26.16,0.3887,2,2,0.0,0.0,28.350000000000009,-3.4000000000000021,0.28251022182132601,-2.1171920537947493,32.347476231087811,-3.4688094550822157,-0.099605575469694521,2.1034156740491645,28.468038172205834,1,62,31.875,-2.125,-5.3125,0.649999976158,0.0,0.0,0.0,3
3,0.30256891250610352,1517122812.9720001,26.38,0.3481,2,2,0.0,0.0,27.650000000000006,-3.2750000000000021,0.22499458772398384,-2.1171920537947493,29.644241428512885,-3.1812312845955226,-0.16578830330430505,2.1076763088234642,27.750306010157853,1,62,30.8125,-2.0625,-4.75,0.649999976158,0.0,0.0,0.0,3
4,0.40352892875671387,1517122813.0729601,26.63,0.3564,2,1,-1.04983258247,2.70016741753,26.850000000000009,-3.2000000000000028,0.052447685431957325,-2.1459498708434204,29.615483611464199,-3.1812312845955226,-0.11554361753203915,2.1427996597583205,26.945544819912573,1,62,30.4375,-2.0,-4.75,0.649999976158,0.0,0.0,0.0,3
5,0.50431680679321289,1517122813.173748,26.88,0.5215,2,1,-1.03983259201,2.71016740799,26.075000000000003,-3.125,0.1099633195292995,-2.1171920537947493,28.005045856738718,-2.9224109311574935,-0.25819418567009705,2.1131376577510239,26.154311982699468,1,62,29.8125,-2.0,-5.125,0.649999976158,0.0,0.0,0.0,3
6,0.60518193244934082,1517122813.2746131,27.14,0.2362,2,1,-1.02483272552,2.72516727448,25.300000000000011,-2.9750000000000014,0.1099633195292995,-2.0884342367460818,27.774983320349364,-3.0374421993521779,-0.022445273719669555,2.0834366428781492,25.387120481719588,1,62,28.5,-1.875,-7.3125,0.649999976158,0.0,0.0,0.0,3
7,0.70601177215576172,1517122813.375443,27.27,0.3364,2,1,-1.03733253479,2.71266746521,24.525000000000006,-2.8000000000000007,0.02368986838330045,-2.0596764196974107,29.615483611464199,-3.1812312845955226,0.18816240648291357,2.0573014508447343,24.613450473934819,1,62,27.8125,-1.75,-7.5625,0.649999976158,0.0,0.0,0.0,3
8,0.80706000328063965,1517122813.4764912,27.58,0.3677,2,1,-1.03358268738,2.71641731262,23.825000000000003,-2.6500000000000021,0.052447685431957325,-2.0884342367460818,27.19982697937597,-3.0374421993521779,0.26930175827695174,2.085327007130823,23.90303698895865,1,62,27.0625,-1.625,-8.875,0.649999976158,0.0,0.0,0.0,3
9,0.90774989128112793,1517122813.5771811,27.64,0.3911,2,1,-1.03170776367,2.71829223633,23.075000000000003,-2.4250000000000007,0.052447685431957325,-2.0596764196974107,26.337092467915895,-3.0949578334495129,0.54105326937385978,2.0560164536632071,23.152562202707671,1,62,25.6875,-1.5,-9.8125,0.649999976158,0.0,0.0,0.0,3
10,1.0086016654968262,1517122813.6780329,27.71,0.4742,2,1,-1.02077007294,2.72922992706,22.300000000000011,-2.25,0.1099633195292995,-2.0596764196974107,26.82597535774326,-3.2387469186928577,0.78823261795018629,2.0528251194231633,22.377517865152484,1,62,23.125,-1.1875,-8.625,0.600000023842,0.0,0.0,0.0,3
11,1.1094226837158203,1517122813.7788539,27.71,0.3438,2,1,-1.01530122757,2.73469877243,21.525000000000006,-2.1500000000000021,-0.033825765714041722,-2.1459498708434204,25.761936126942487,-3.2387469186928577,0.90844094998546143,2.1454585245673803,21.596710687513866,1,62,21.9375,-1.0625,-7.5625,0.600000023842,0.0,0.0,0.0,3
12,1.210291862487793,1517122813.8797231,27.61,0.5535,2,1,-1.00256681442,2.74743318558,20.725000000000009,-1.9500000000000028,0.052447685431957325,-2.0596764196974107,24.755412530239056,-3.0949578334495129,0.97519045460580822,2.0556738982677984,20.78847470421946,1,62,20.75,-1.0,-6.75,0.550000011921,0.0,0.0,0.0,3
13,1.3111579418182373,1517122813.9805892,27.51,0.4909,2,1,-0.986199855804,2.7638001442,20.100000000000009,-1.8000000000000007,0.02368986838330045,-2.1459498708434204,22.943670056172877,-3.0949578334495129,1.1762070968374201,2.1431326827136004,20.157258119877767,1,62,19.5625,-0.8125,-5.625,0.550000011921,0.0,0.0,0.0,3
14,1.4120099544525146,1517122814.0814412,27.46,0.4677,2,1,-0.978016376495,2.7719836235,19.225000000000009,-1.5750000000000028,0.052447685431957325,-2.0884342367460818,24.899201615482411,-3.3250203698388674,1.46580954855558,2.0832455876118838,19.27952340535612,1,62,19.5,-0.75,-5.5,0.550000011921,0.0,0.0,0.0,3
15,1.5128688812255859,1517122814.1823001,27.36,0.3618,2,1,-0.963924407959,2.78607559204,18.450000000000003,-1.4000000000000021,0.02368986838330045,-2.1171920537947493,22.483544983394182,-3.0662000164008418,1.4944350807957503,2.1143045177031361,18.492654268146264,1,62,18.875,-0.625,-6.5,0.550000011921,0.0,0.0,0.0,3
16,1.6137089729309082,1517122814.2831402,27.3,0.6079,2,1,-0.946878433228,2.80312156677,17.775000000000006,-1.2750000000000021,-0.062583582762712808,-2.1459498708434204,19.780310180819242,-3.0374421993521779,1.6706633003696494,2.1465962545784349,17.814312723849273,1,62,17.625,-0.4375,-6.9375,0.550000011921,0.0,0.0,0.0,3
17,1.7145857810974121,1517122814.384017,27.09,0.6723,2,2,-0.946878433228,2.80312156677,16.975000000000009,-1.125,-0.033825765714041722,-2.2034655049407554,19.7227945467219,-2.9799265652548357,1.7455870492633541,2.2030941165048432,17.006085301544978,1,62,17.0625,-0.375,-7.4375,0.550000011921,0.0,0.0,0.0,3
18,1.8154230117797852,1517122814.4848542,26.91,0.5978,2,2,-0.946878433228,2.80312156677,16.275000000000006,-0.97500000000000142,0.16747895362664167,-2.0596764196974107,18.773786584115811,-3.1524734675468515,2.0272197473393851,2.0463135822051433,16.304167731763254,1,62,16.4375,-0.25,-8.375,0.550000011921,0.0,0.0,0.0,3
19,1.9163000583648682,1517122814.5857313,26.81,0.6031,2,2,-0.946878433228,2.80312156677,15.525000000000006,-0.82500000000000284,0.02368986838330045,-2.1459498708434204,19.521489827381217,-3.0949578334495129,2.0729844001934974,2.1422607972745422,15.546750489436931,1,62,15.25,-0.0625,-9.25,0.550000011921,0.0,0.0,0.0,3
20,2.0172698497772217,1517122814.6867011,26.62,0.689,2,2,-0.946878433228,2.80312156677,14.800000000000011,-0.57500000000000284,-0.12009921686005498,-2.1171920537947493,18.773786584115811,-3.0662000164008418,2.288718164359119,2.1205511681399964,14.81021083109159,1,62,15.1875,0.0,-9.5625,0.600000023842,0.0,0.0,0.0,3
21,2.1179969310760498,1517122814.7874281,26.31,0.6646,2,2,0.0,0.0,14.025000000000006,-0.40000000000000213,-0.062583582762712808,-2.2034655049407554,19.751552363770571,-3.0949578334495129,2.4348412982880099,2.2040515573770745,14.028804692328221,1,62,14.5,0.1875,-9.6875,0.600000023842,0.0,0.0,0.0,3
22,2.2189807891845703,1517122814.888412,25.85,0.6646,2,2,0.0,0.0,13.350000000000009,-0.25,-0.0050679486653848471,-2.1171920537947493,18.629997498872456,-3.1812312845955226,2.6254735535995799,2.1140380652954773,13.342542251808807,1,62,14.5,0.1875,-9.6875,0.600000023842,0.0,0.0,0.0,3
23,2.3196957111358643,1517122814.9891269,25.37,0.7638,2,2,0.0,0.0,12.625,-0.10000000000000142,-0.0050679486653848471,-2.1747076878920915,18.371177145434444,-3.123715650498184,2.7233355419975096,2.1720748587956851,12.613355487702544,1,62,14.5,0.25,-11.25,0.600000023842,0.0,0.0,0.0,3,63,52.375,3.4375,-12.25,1.54999995232,0.0,0.0,0.0,0
24,2.420630931854248,1517122815.0900621,24.79,0.5981,2,2,0.0,0.0,11.950000000000003,0.024999999999998579,0.1099633195292995,-2.2034655049407554,16.731981573660278,-2.8073796629628198,2.6568868447330338,2.1980200530263283,11.941212931166952,1,62,14.125,0.5,-5.9375,0.649999976158,0.0,0.0,0.0,3,63,51.375,3.375,-11.1875,1.54999995232,0.0,0.0,0.0,0
